user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
2186,3,3,4,0.0,2015.04,21,5,1,10,8,1
72,22,24,4,0.0,2015.04,16,4,1,6,8,1
2264,6,6,2,0.0,2015.04,6,3,1,9,7,1
1990,58,69,1,0.25,2015.04,0,0,0,3,5,1
2005,56,67,1,0.25,2015.04,0,0,0,3,2,1
944,38,45,2,0.8,2015.04,77,38,0,4,6,1
16082,56,67,1,1.25,2015.04,0,0,0,3,1,1
1770,91,145,1,1.25,2015.04,0,0,0,1,3,1
2159,31,37,1,2.9,2015.04,0,0,0,5,1,1
2142,36,43,1,2.9,2015.04,0,0,0,4,1,1
2271,11,11,1,2.9,2015.04,0,0,0,7,2,1
2228,18,19,1,2.9,2015.04,0,0,0,6,2,1
1897,76,106,1,4.5,2015.04,0,0,0,2,5,1
2012,50,60,1,4.5,2015.04,0,0,0,4,1,1
1796,94,150,1,5.0,2015.04,0,0,0,1,3,1
2098,31,37,1,6.0,2015.04,0,0,0,5,1,1
2131,20,22,1,6.0,2015.04,0,0,0,6,3,1
1746,107,171,1,6.0,2015.04,0,0,0,1,5,1
2157,33,39,1,6.0,2015.04,0,0,0,5,1,1
1758,104,166,1,6.0,2015.04,0,0,0,1,4,1
2058,50,60,1,6.25,2015.04,0,0,0,4,1,1
2033,53,63,1,7.0,2015.04,0,0,0,3,1,1
2034,50,60,1,7.0,2015.04,0,0,0,4,1,1
1697,117,187,1,7.0,2015.04,0,0,0,1,1,1
2007,56,67,1,7.0,2015.04,0,0,0,3,3,1
1959,64,89,1,7.0,2015.04,0,0,0,3,5,1
1958,59,70,1,7.0,2015.04,0,0,0,3,5,1
1678,40,48,2,7.4,2015.04,10,5,1,4,7,1
427,105,168,1,7.5,2015.04,0,0,0,1,4,1
2128,33,39,1,9.55,2015.04,0,0,0,5,1,1
2177,28,30,1,10.0,2015.04,0,0,0,5,3,1
2040,53,63,1,10.0,2015.04,0,0,0,3,1,1
1890,69,96,1,10.0,2015.04,0,0,0,2,5,1
2116,41,49,1,10.0,2015.04,0,0,0,4,1,1
2244,15,15,1,10.0,2015.04,0,0,0,7,2,1
592,33,39,2,10.3,2015.04,9,4,1,5,6,1
1980,59,70,1,10.5,2015.04,0,0,0,3,5,1
2147,35,42,1,10.5,2015.04,0,0,0,5,1,1
2321,3,3,1,10.9,2015.04,0,0,0,10,1,1
2181,27,29,1,10.98,2015.04,0,0,0,5,3,1
2262,11,11,1,11.0,2015.04,0,0,0,7,2,1
1765,102,163,1,11.25,2015.04,0,0,0,1,4,1
1050,44,52,1,11.25,2015.04,0,0,0,4,2,1
310,103,164,1,11.5,2015.04,0,0,0,1,4,1
2123,40,48,1,11.61,2015.04,0,0,0,4,1,1
346,4,4,1,11.61,2015.04,0,0,0,9,1,1
1781,98,156,1,12.0,2015.04,0,0,0,1,4,1
2336,1,1,1,12.0,2015.04,0,0,0,10,3,1
1713,113,180,1,12.0,2015.04,0,0,0,1,4,1
1328,108,172,1,12.0,2015.04,0,0,0,1,4,1
1827,87,121,1,12.0,2015.04,0,0,0,2,3,1
2307,6,6,1,12.0,2015.04,0,0,0,9,3,1
2220,19,20,1,12.0,2015.04,0,0,0,6,3,1
2008,56,67,1,12.0,2015.04,0,0,0,3,4,1
2202,22,24,1,12.0,2015.04,0,0,0,6,2,1
2281,10,10,1,12.0,2015.04,0,0,0,7,2,1
2235,17,18,1,12.05,2015.04,0,0,0,6,2,1
1747,106,169,1,12.5,2015.04,0,0,0,1,4,1
2260,13,13,1,12.5,2015.04,0,0,0,7,2,1
1923,52,62,1,12.5,2015.04,0,0,0,3,1,1
2167,4,4,1,12.65,2015.04,0,0,0,9,1,1
2117,38,45,1,12.75,2015.04,0,0,0,4,1,1
2097,44,52,1,12.9,2015.04,0,0,0,4,2,1
2208,21,23,1,12.9,2015.04,0,0,0,6,3,1
2340,1,1,1,12.9,2015.04,0,0,0,10,5,1
710,45,54,1,12.9,2015.04,0,0,0,4,2,1
919,37,44,1,12.9,2015.04,0,0,0,4,1,1
830,18,19,1,12.9,2015.04,0,0,0,6,2,1
2314,5,5,1,12.9,2015.04,0,0,0,9,3,1
1727,110,176,1,13.0,2015.04,0,0,0,1,4,1
841,4,4,1,13.0,2015.04,0,0,0,9,1,1
349,37,44,1,13.0,2015.04,0,0,0,4,1,1
1816,90,125,1,13.0,2015.04,0,0,0,1,3,2
2185,25,27,1,13.0,2015.04,0,0,0,5,3,2
1868,81,113,1,13.0,2015.04,0,0,0,2,4,2
736,29,31,1,13.0,2015.04,0,0,0,5,3,2
1776,99,158,1,13.05,2015.04,0,0,0,1,4,2
1041,74,103,1,13.05,2015.04,0,0,0,2,5,2
1953,65,91,1,13.05,2015.04,0,0,0,3,5,2
2216,20,22,1,13.4,2015.04,0,0,0,6,3,2
1766,102,163,1,13.5,2015.04,0,0,0,1,4,2
1267,36,43,1,13.5,2015.04,0,0,0,4,1,2
2272,11,11,1,13.5,2015.04,0,0,0,7,5,2
2119,36,43,1,13.5,2015.04,0,0,0,5,1,2
1736,109,174,1,13.5,2015.04,0,0,0,1,4,2
1898,76,106,1,13.5,2015.04,0,0,0,2,5,2
1840,85,118,1,14.0,2015.04,0,0,0,2,3,2
1710,113,180,1,14.0,2015.04,0,0,0,1,4,2
1975,60,72,1,14.0,2015.04,0,0,0,3,5,2
2328,2,2,1,14.0,2015.04,0,0,0,10,2,2
2258,13,13,1,14.0,2015.04,0,0,0,7,2,2
1777,99,158,1,14.17,2015.04,0,0,0,1,4,2
2276,11,11,1,14.2,2015.04,0,0,0,7,2,2
691,20,22,1,14.4,2015.04,0,0,0,6,3,2
948,84,117,1,14.4,2015.04,0,0,0,2,4,2
2241,16,17,1,14.4,2015.04,0,0,0,7,2,2
181,97,155,1,14.5,2015.04,0,0,0,1,4,2
1424,92,147,1,14.5,2015.04,0,0,0,1,3,2
866,57,68,1,14.5,2015.04,0,0,0,3,5,2
1127,83,116,1,14.5,2015.04,0,0,0,2,4,2
2082,46,55,1,14.5,2015.04,0,0,0,4,2,2
1832,87,121,1,14.5,2015.04,0,0,0,2,3,2
1711,113,180,1,14.5,2015.04,0,0,0,1,4,2
560,74,103,1,14.5,2015.04,0,0,0,2,5,2
1162,73,102,1,14.5,2015.04,0,0,0,2,5,2
227,18,19,1,15.0,2015.04,0,0,0,6,3,2
1971,54,64,1,15.0,2015.04,0,0,0,3,1,2
2080,46,55,1,15.0,2015.04,0,0,0,4,2,2
816,83,116,1,15.0,2015.04,0,0,0,2,4,2
1939,68,95,1,15.0,2015.04,0,0,0,2,5,2
2137,37,44,1,15.25,2015.04,0,0,0,4,1,2
1439,50,60,1,15.5,2015.04,0,0,0,4,1,2
2274,11,11,1,15.8,2015.04,0,0,0,7,2,2
2303,7,7,1,15.8,2015.04,0,0,0,8,2,2
2057,43,51,1,15.8,2015.04,0,0,0,4,3,2
1174,78,109,1,15.8,2015.04,0,0,0,2,4,2
2197,23,25,1,16.0,2015.04,0,0,0,6,2,2
2334,1,1,1,16.0,2015.04,0,0,0,10,4,2
1399,36,43,1,16.0,2015.04,0,0,0,5,1,2
6086,111,177,1,16.0,2015.04,0,0,0,1,4,2
1193,112,179,1,16.0,2015.04,0,0,0,1,4,2
1567,113,180,1,16.0,2015.04,0,0,0,1,4,2
1851,84,117,1,16.0,2015.04,0,0,0,2,4,2
772,104,166,1,16.0,2015.04,0,0,0,1,4,2
1853,83,116,1,16.0,2015.04,0,0,0,2,4,2
1302,33,39,1,16.0,2015.04,0,0,0,5,1,2
549,13,13,1,16.0,2015.04,0,0,0,7,2,2
2076,47,56,1,16.0,2015.04,0,0,0,4,2,2
2286,9,9,1,16.0,2015.04,0,0,0,8,2,2
2326,2,2,1,16.0,2015.04,0,0,0,10,1,2
1724,21,23,2,16.2,2015.04,88,44,0,6,7,2
1708,114,182,1,16.25,2015.04,0,0,0,1,4,2
1866,77,107,1,16.5,2015.04,0,0,0,2,5,2
197,60,72,2,16.5,2015.04,8,4,1,3,6,2
2201,22,24,1,16.6,2015.04,0,0,0,6,3,2
2081,21,23,1,16.7,2015.04,0,0,0,6,3,2
1912,74,103,1,17.0,2015.04,0,0,0,2,5,2
1884,77,107,1,17.0,2015.04,0,0,0,2,5,2
2168,30,33,1,17.0,2015.04,0,0,0,5,2,2
1753,105,168,1,17.25,2015.04,0,0,0,1,4,2
2199,22,24,1,17.4,2015.04,0,0,0,6,3,3
2292,8,8,1,17.55,2015.04,0,0,0,8,2,3
2092,44,52,1,18.0,2015.04,0,0,0,4,2,3
2043,52,62,1,18.0,2015.04,0,0,0,3,1,3
2101,43,51,1,18.0,2015.04,0,0,0,4,2,3
2038,53,63,1,18.0,2015.04,0,0,0,3,1,3
530,43,51,1,18.0,2015.04,0,0,0,4,2,3
527,88,123,1,18.0,2015.04,0,0,0,1,3,3
913,32,38,1,18.4,2015.04,0,0,0,5,1,3
2133,38,45,1,18.5,2015.04,0,0,0,4,1,3
1769,101,161,1,18.5,2015.04,0,0,0,1,4,3
1870,81,113,1,18.5,2015.04,0,0,0,2,4,3
193,3,3,1,18.9,2015.04,0,0,0,10,1,3
2268,7,7,1,18.9,2015.04,0,0,0,8,3,3
2048,39,46,1,18.9,2015.04,0,0,0,4,1,3
2232,18,19,1,18.9,2015.04,0,0,0,6,2,3
2188,24,26,1,18.9,2015.04,0,0,0,5,3,3
2115,40,48,1,18.9,2015.04,0,0,0,4,1,3
2001,57,68,1,19.0,2015.04,0,0,0,3,5,3
2282,6,6,1,19.0,2015.04,0,0,0,9,3,3
2047,52,62,1,19.0,2015.04,0,0,0,3,1,3
1913,74,103,1,19.0,2015.04,0,0,0,2,5,3
1740,100,160,1,19.0,2015.04,0,0,0,1,4,3
2020,55,66,1,19.0,2015.04,0,0,0,3,1,3
684,64,89,1,19.0,2015.04,0,0,0,3,5,3
858,87,121,1,19.25,2015.04,0,0,0,2,3,3
219,21,23,1,19.35,2015.04,0,0,0,6,3,3
2126,40,48,1,19.4,2015.04,0,0,0,4,1,3
555,34,40,1,19.5,2015.04,0,0,0,5,1,3
2285,9,9,1,19.5,2015.04,0,0,0,8,2,3
1731,109,174,1,19.5,2015.04,0,0,0,1,4,3
1649,10,10,1,19.5,2015.04,0,0,0,7,2,3
2331,2,2,1,19.5,2015.04,0,0,0,10,2,3
2149,34,40,1,19.8,2015.04,0,0,0,5,1,3
1732,109,174,1,20.0,2015.04,0,0,0,1,4,3
1771,100,160,1,20.0,2015.04,0,0,0,1,4,3
1009,109,174,1,20.0,2015.04,0,0,0,1,4,3
1942,68,95,1,20.5,2015.04,0,0,0,3,5,3
2045,52,62,1,20.5,2015.04,0,0,0,3,1,3
2342,1,1,1,20.9,2015.04,0,0,0,10,3,3
1415,46,55,1,21.0,2015.04,0,0,0,4,2,3
1744,107,171,1,21.0,2015.04,0,0,0,1,5,3
2231,18,19,1,21.2,2015.04,0,0,0,6,2,3
2196,21,23,1,21.4,2015.04,0,0,0,6,3,3
2094,21,23,1,21.8,2015.04,0,0,0,6,3,3
2144,35,42,1,21.8,2015.04,0,0,0,5,1,3
247,108,172,1,22.0,2015.04,0,0,0,1,4,3
1772,100,160,1,22.0,2015.04,0,0,0,1,4,3
2316,1,1,1,22.0,2015.04,0,0,0,10,4,3
2050,51,61,1,22.0,2015.04,0,0,0,4,1,3
2072,7,7,7,22.0,2015.04,35,5,1,8,9,3
2164,31,37,1,22.0,2015.04,0,0,0,5,1,3
2136,37,44,1,22.3,2015.04,0,0,0,4,1,3
1061,6,6,1,22.5,2015.04,0,0,0,9,2,3
1750,106,169,1,22.5,2015.04,0,0,0,1,5,3
1908,74,103,1,22.5,2015.04,0,0,0,2,5,3
2242,16,17,1,22.5,2015.04,0,0,0,7,2,3
2302,7,7,1,23.22,2015.04,0,0,0,8,2,3
2113,41,49,1,23.3,2015.04,0,0,0,4,1,3
1474,91,145,1,23.5,2015.04,0,0,0,1,3,3
876,62,86,1,23.5,2015.04,0,0,0,3,5,3
1925,71,99,1,23.5,2015.04,0,0,0,2,5,3
1078,7,7,1,23.5,2015.04,0,0,0,8,3,3
2236,7,7,2,23.9,2015.04,10,5,1,8,5,3
2265,12,12,1,24.0,2015.04,0,0,0,7,2,3
48,110,176,1,24.0,2015.04,0,0,0,1,4,3
1881,59,70,2,24.0,2015.04,20,10,1,3,6,3
1825,88,123,1,24.0,2015.04,0,0,0,2,3,3
1755,77,107,2,24.0,2015.04,28,14,1,2,6,4
1989,58,69,1,24.0,2015.04,0,0,0,3,5,4
2148,9,9,2,24.200000000000003,2015.04,26,13,1,8,6,4
1830,87,121,1,24.3,2015.04,0,0,0,2,3,4
2011,53,63,1,24.5,2015.04,0,0,0,3,1,4
2204,21,23,1,24.8,2015.04,0,0,0,6,3,4
1929,53,63,2,25.0,2015.04,18,9,1,3,6,4
512,81,113,1,25.5,2015.04,0,0,0,2,4,4
2104,2,2,2,25.6,2015.04,41,20,1,10,6,4
404,16,17,1,25.8,2015.04,0,0,0,7,2,4
812,29,31,1,25.8,2015.04,0,0,0,5,3,4
1598,39,46,1,25.8,2015.04,0,0,0,4,1,4
1263,36,43,2,25.8,2015.04,3,1,1,5,6,4
2256,13,13,1,25.99,2015.04,0,0,0,7,2,4
1806,92,147,1,26.0,2015.04,0,0,0,1,3,4
973,41,49,2,26.0,2015.04,57,28,1,4,7,4
1283,7,7,2,26.25,2015.04,42,21,1,8,5,4
2214,11,11,2,26.25,2015.04,9,4,1,7,6,4
1445,92,147,1,26.5,2015.04,0,0,0,1,3,4
1973,19,20,1,26.5,2015.04,0,0,0,6,3,4
1709,52,62,2,26.5,2015.04,48,24,1,3,6,4
2103,6,6,2,26.9,2015.04,37,18,1,9,7,4
1873,81,113,1,27.0,2015.04,0,0,0,2,4,4
950,81,113,1,27.0,2015.04,0,0,0,2,4,4
222,27,29,1,27.0,2015.04,0,0,0,5,3,4
1937,70,98,1,27.0,2015.04,0,0,0,2,5,4
2320,3,3,1,27.0,2015.04,0,0,0,10,1,4
1999,57,68,1,27.25,2015.04,0,0,0,3,5,4
1585,5,5,1,27.45,2015.04,0,0,0,9,3,4
2337,1,1,1,27.6,2015.04,0,0,0,10,5,4
2284,4,4,1,27.65,2015.04,0,0,0,9,1,4
1694,116,185,1,28.0,2015.04,0,0,0,1,4,4
1895,76,106,1,28.0,2015.04,0,0,0,2,5,4
2175,7,7,2,28.0,2015.04,22,11,1,8,6,4
1347,79,110,1,28.0,2015.04,0,0,0,2,4,4
2226,4,4,2,28.5,2015.04,14,7,1,9,6,4
2310,5,5,1,28.5,2015.04,0,0,0,9,3,4
2203,22,24,2,28.62,2015.04,0,0,0,6,7,4
886,10,10,2,28.8,2015.04,75,37,0,8,6,4
2341,1,1,1,28.9,2015.04,0,0,0,10,5,4
521,43,51,1,28.9,2015.04,0,0,0,4,2,4
1405,52,62,2,29.0,2015.04,43,21,1,3,6,4
1103,78,109,1,29.0,2015.04,0,0,0,2,4,4
2311,5,5,1,29.0,2015.04,0,0,0,9,2,4
953,93,148,1,29.0,2015.04,0,0,0,1,3,4
1888,77,107,1,29.0,2015.04,0,0,0,2,5,4
1872,81,113,1,29.0,2015.04,0,0,0,2,4,4
2105,42,50,1,29.9,2015.04,0,0,0,4,1,4
1645,47,56,2,30.0,2015.04,29,14,1,4,6,4
1878,36,43,2,30.0,2015.04,44,22,1,5,6,4
1100,114,182,1,30.0,2015.04,0,0,0,1,4,4
768,108,172,1,30.5,2015.04,0,0,0,1,4,4
225,60,72,1,30.5,2015.04,0,0,0,3,5,4
1858,83,116,1,30.5,2015.04,0,0,0,2,4,4
141,28,30,2,30.5,2015.04,39,19,1,5,6,4
563,7,7,1,30.7,2015.04,0,0,0,8,2,4
1110,63,88,2,31.0,2015.04,30,15,1,3,6,4
2024,43,51,2,31.0,2015.04,12,6,1,4,7,4
622,85,118,1,31.0,2015.04,0,0,0,2,3,4
2273,11,11,1,31.25,2015.04,0,0,0,7,2,4
79,11,11,2,31.4,2015.04,3,1,1,7,6,4
1720,77,107,2,32.0,2015.04,35,17,1,2,6,4
2324,3,3,1,32.0,2015.04,0,0,0,10,2,4
649,28,30,2,32.0,2015.04,39,19,1,5,6,4
660,18,19,2,32.0,2015.04,66,33,0,6,5,4
