user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
5296,84,117,1,0.0,2016.08,0,0,0,7,3,1
4306,218,392,1,0.0,2016.08,0,0,0,5,2,1
4307,218,392,1,0.0,2016.08,0,0,0,5,2,1
3486,318,572,5,0.0,2016.08,22,4,1,3,8,1
4301,218,392,1,0.0,2016.08,0,0,0,5,2,1
4675,173,276,1,0.0,2016.08,0,0,0,5,1,1
2460,39,46,2,0.0,2016.08,82,41,0,9,6,1
4324,216,388,1,0.0,2016.08,0,0,0,5,2,1
4298,218,392,1,0.0,2016.08,0,0,0,5,2,1
4325,216,388,1,0.0,2016.08,0,0,0,5,2,1
2218,177,283,1,0.0,2016.08,0,0,0,5,1,1
4323,216,388,1,0.0,2016.08,0,0,0,5,2,1
4313,217,390,1,0.0,2016.08,0,0,0,5,2,1
4311,217,390,1,0.0,2016.08,0,0,0,5,2,1
4302,218,392,1,0.0,2016.08,0,0,0,5,2,1
741,206,370,1,0.0,2016.08,0,0,0,5,1,1
5242,91,145,1,0.0,2016.08,0,0,0,7,3,1
4322,216,388,1,0.0,2016.08,0,0,0,5,2,1
4299,218,392,1,0.0,2016.08,0,0,0,5,2,1
4305,218,392,1,0.0,2016.08,0,0,0,5,2,1
4598,185,333,1,0.0,2016.08,0,0,0,5,1,1
2186,296,532,31,0.0,2016.08,217,7,1,4,10,1
1990,547,1203,1,0.25,2016.08,0,0,0,1,5,1
2005,545,1090,1,0.25,2016.08,0,0,0,1,5,1
2440,477,954,1,0.9,2016.08,0,0,0,1,4,1
2632,454,908,1,0.99,2016.08,0,0,0,2,4,1
4235,208,374,1,1.15,2016.08,0,0,0,5,1,1
1770,580,1276,1,1.25,2016.08,0,0,0,1,5,1
3344,359,646,1,1.25,2016.08,0,0,0,3,4,1
3345,359,646,1,1.25,2016.08,0,0,0,3,4,1
3717,315,567,1,1.25,2016.08,0,0,0,3,5,1
5295,85,118,1,1.76,2016.08,0,0,0,7,3,1
2789,434,868,1,2.4,2016.08,0,0,0,2,4,1
1748,295,531,20,2.7,2016.08,167,8,1,4,10,1
3508,295,531,8,2.7,2016.08,45,5,1,4,9,1
4060,260,468,1,2.9,2016.08,0,0,0,4,1,1
2159,520,1040,1,2.9,2016.08,0,0,0,1,5,1
3440,349,628,1,2.9,2016.08,0,0,0,3,4,1
2142,525,1050,1,2.9,2016.08,0,0,0,1,5,1
2733,441,882,1,2.9,2016.08,0,0,0,2,4,1
3468,345,621,1,2.9,2016.08,0,0,0,3,5,1
4065,258,464,1,2.9,2016.08,0,0,0,4,1,1
2646,427,854,1,3.0,2016.08,0,0,0,2,4,1
3227,275,495,1,3.0,2016.08,0,0,0,4,1,1
2700,444,888,1,3.5,2016.08,0,0,0,2,4,1
2449,476,952,1,3.5,2016.08,0,0,0,1,4,1
4029,235,423,1,4.0,2016.08,0,0,0,4,2,1
2958,398,796,1,4.0,2016.08,0,0,0,2,4,1
1897,565,1243,1,4.5,2016.08,0,0,0,1,5,1
1356,486,972,1,4.75,2016.08,0,0,0,1,4,1
2550,465,930,1,4.9,2016.08,0,0,0,1,4,1
2684,446,892,1,5.0,2016.08,0,0,0,2,5,1
2760,438,876,1,5.3,2016.08,0,0,0,2,4,1
2441,477,954,1,5.4,2016.08,0,0,0,1,4,1
3058,343,617,2,5.8,2016.08,52,26,1,3,6,1
4459,203,365,1,5.9,2016.08,0,0,0,5,1,1
2098,520,1040,1,6.0,2016.08,0,0,0,1,5,1
3963,274,493,1,6.0,2016.08,0,0,0,4,1,1
2442,477,954,1,6.0,2016.08,0,0,0,1,4,1
2776,436,872,1,6.0,2016.08,0,0,0,2,4,1
2157,522,1044,1,6.0,2016.08,0,0,0,1,5,1
2131,509,1018,1,6.0,2016.08,0,0,0,1,5,1
2356,487,974,1,6.0,2016.08,0,0,0,1,4,1
2708,444,888,1,6.0,2016.08,0,0,0,2,4,1
1588,440,880,1,6.0,2016.08,0,0,0,2,4,1
1758,593,1304,1,6.0,2016.08,0,0,0,1,5,1
2968,367,734,1,6.0,2016.08,0,0,0,3,4,1
2058,539,1078,1,6.25,2016.08,0,0,0,1,5,1
4320,217,390,1,6.3,2016.08,0,0,0,5,2,1
2034,539,1078,1,7.0,2016.08,0,0,0,1,5,1
1697,606,1333,1,7.0,2016.08,0,0,0,1,1,1
2033,542,1084,1,7.0,2016.08,0,0,0,1,5,1
1959,553,1216,1,7.0,2016.08,0,0,0,1,5,1
2007,545,1090,1,7.0,2016.08,0,0,0,1,5,1
4338,215,387,1,7.4,2016.08,0,0,0,5,2,1
4899,136,217,1,7.9,2016.08,0,0,0,6,1,1
3529,317,570,4,7.95,2016.08,21,5,1,3,8,1
101,434,868,1,8.58,2016.08,0,0,0,2,4,1
2612,455,910,1,8.9,2016.08,0,0,0,2,4,1
4163,234,421,1,8.9,2016.08,0,0,0,4,2,1
4682,172,275,1,9.41,2016.08,0,0,0,5,1,1
2865,423,846,1,9.5,2016.08,0,0,0,2,4,1
2128,522,1044,1,9.55,2016.08,0,0,0,1,5,1
2999,389,778,1,9.75,2016.08,0,0,0,2,4,1
3159,378,756,1,10.0,2016.08,0,0,0,2,4,1
3843,297,534,1,10.0,2016.08,0,0,0,4,1,1
4949,136,217,1,10.0,2016.08,0,0,0,6,1,1
3938,281,505,1,10.0,2016.08,0,0,0,4,1,1
5218,71,99,1,10.0,2016.08,0,0,0,7,3,1
4822,152,243,1,10.0,2016.08,0,0,0,6,1,1
5270,84,117,1,10.0,2016.08,0,0,0,7,3,1
2420,479,958,1,10.0,2016.08,0,0,0,1,4,1
2244,504,1008,1,10.0,2016.08,0,0,0,1,5,1
2040,542,1084,1,10.0,2016.08,0,0,0,1,5,1
2740,441,882,1,10.0,2016.08,0,0,0,2,4,1
3492,342,615,1,10.0,2016.08,0,0,0,3,5,1
4972,54,64,1,10.24,2016.08,0,0,0,8,3,1
2822,430,860,1,10.25,2016.08,0,0,0,2,4,1
3483,343,617,1,10.25,2016.08,0,0,0,3,5,1
3872,291,523,1,10.3,2016.08,0,0,0,4,2,1
2952,413,826,1,10.4,2016.08,0,0,0,2,4,1
3322,360,648,1,10.4,2016.08,0,0,0,3,4,1
3909,284,511,1,10.4,2016.08,0,0,0,4,2,1
2530,468,936,1,10.4,2016.08,0,0,0,1,4,1
3466,345,621,1,10.4,2016.08,0,0,0,3,5,1
3131,383,766,1,10.4,2016.08,0,0,0,2,4,1
5604,43,51,1,10.43,2016.08,0,0,0,8,2,1
4071,255,459,1,10.5,2016.08,0,0,0,4,2,1
3398,341,613,1,10.5,2016.08,0,0,0,3,5,1
3575,306,550,1,10.5,2016.08,0,0,0,3,3,1
1980,548,1205,1,10.5,2016.08,0,0,0,1,5,1
4027,266,478,1,10.5,2016.08,0,0,0,4,1,1
3324,353,635,1,10.5,2016.08,0,0,0,3,4,1
2147,524,1048,1,10.5,2016.08,0,0,0,1,5,1
303,307,552,8,10.56,2016.08,45,5,1,3,9,1
2774,437,874,1,10.65,2016.08,0,0,0,2,4,1
2849,426,852,1,10.75,2016.08,0,0,0,2,4,1
5162,100,160,1,10.8,2016.08,0,0,0,7,3,1
2321,492,984,1,10.9,2016.08,0,0,0,1,4,1
3722,290,522,1,10.94,2016.08,0,0,0,4,2,1
2181,516,1032,1,10.98,2016.08,0,0,0,1,5,1
2262,500,1000,1,11.0,2016.08,0,0,0,1,5,1
3226,107,171,1,11.1,2016.08,0,0,0,6,3,1
4010,271,487,1,11.1,2016.08,0,0,0,4,1,1
3711,317,570,1,11.15,2016.08,0,0,0,3,5,1
4096,229,412,1,11.25,2016.08,0,0,0,4,2,1
4155,234,421,1,11.25,2016.08,0,0,0,4,2,1
1231,266,478,1,11.25,2016.08,0,0,0,4,1,1
1765,591,1300,1,11.25,2016.08,0,0,0,1,5,1
3087,392,784,1,11.25,2016.08,0,0,0,2,4,1
3697,319,574,1,11.25,2016.08,0,0,0,3,5,1
4247,224,403,1,11.25,2016.08,0,0,0,4,2,1
2703,442,884,1,11.25,2016.08,0,0,0,2,4,1
4207,228,410,1,11.25,2016.08,0,0,0,4,2,1
3898,286,514,1,11.25,2016.08,0,0,0,4,2,1
2869,423,846,1,11.25,2016.08,0,0,0,2,4,1
2335,440,880,1,11.25,2016.08,0,0,0,2,4,1
3453,346,622,1,11.25,2016.08,0,0,0,3,5,1
2994,406,812,1,11.4,2016.08,0,0,0,2,4,1
3814,301,541,1,11.4,2016.08,0,0,0,4,1,1
4050,261,469,1,11.4,2016.08,0,0,0,4,1,1
3629,326,586,1,11.5,2016.08,0,0,0,3,5,1
310,592,1302,1,11.5,2016.08,0,0,0,1,5,1
4226,226,406,1,11.5,2016.08,0,0,0,4,2,1
3424,351,631,1,11.5,2016.08,0,0,0,3,4,1
2123,529,1058,1,11.61,2016.08,0,0,0,1,5,1
3826,299,538,1,11.65,2016.08,0,0,0,4,1,1
3066,394,788,1,11.8,2016.08,0,0,0,2,4,1
1781,587,1291,1,12.0,2016.08,0,0,0,1,5,1
2220,508,1016,1,12.0,2016.08,0,0,0,1,5,1
4160,234,421,1,12.0,2016.08,0,0,0,4,2,1
3519,339,610,1,12.0,2016.08,0,0,0,3,5,1
3801,303,545,1,12.0,2016.08,0,0,0,4,2,1
2535,228,410,1,12.0,2016.08,0,0,0,4,2,1
3956,278,500,1,12.0,2016.08,0,0,0,4,1,1
2379,485,970,1,12.0,2016.08,0,0,0,1,4,1
1328,597,1313,1,12.0,2016.08,0,0,0,1,5,1
3965,277,498,1,12.0,2016.08,0,0,0,4,1,1
3318,360,648,1,12.0,2016.08,0,0,0,3,4,1
3634,299,538,1,12.0,2016.08,0,0,0,4,1,1
3923,283,509,1,12.0,2016.08,0,0,0,4,1,1
3655,321,577,1,12.0,2016.08,0,0,0,3,5,1
2336,490,980,1,12.0,2016.08,0,0,0,1,4,1
3552,336,604,1,12.0,2016.08,0,0,0,3,5,1
2588,298,536,1,12.0,2016.08,0,0,0,4,1,1
2495,471,942,1,12.0,2016.08,0,0,0,1,3,1
3609,330,594,1,12.0,2016.08,0,0,0,3,5,1
2850,317,570,2,12.0,2016.08,96,48,0,3,7,1
4132,238,428,1,12.0,2016.08,0,0,0,4,2,1
2842,428,856,1,12.0,2016.08,0,0,0,2,4,1
2488,472,944,1,12.0,2016.08,0,0,0,1,4,1
2202,511,1022,1,12.0,2016.08,0,0,0,1,5,1
4147,235,423,1,12.0,2016.08,0,0,0,4,2,1
3970,276,496,1,12.0,2016.08,0,0,0,4,1,1
3833,298,536,1,12.0,2016.08,0,0,0,4,1,1
3518,339,610,1,12.0,2016.08,0,0,0,3,5,1
3738,313,563,1,12.0,2016.08,0,0,0,3,5,1
2235,506,1012,1,12.05,2016.08,0,0,0,1,5,1
3907,285,513,1,12.4,2016.08,0,0,0,4,2,1
2608,457,914,1,12.4,2016.08,0,0,0,2,4,1
957,439,878,1,12.4,2016.08,0,0,0,2,4,1
2519,469,938,1,12.49,2016.08,0,0,0,1,4,1
3471,345,621,1,12.5,2016.08,0,0,0,3,5,1
3806,302,543,1,12.5,2016.08,0,0,0,4,1,1
3981,275,495,1,12.5,2016.08,0,0,0,4,1,1
2906,419,838,1,12.5,2016.08,0,0,0,2,4,1
2365,476,952,1,12.5,2016.08,0,0,0,1,4,1
4119,239,430,1,12.5,2016.08,0,0,0,4,2,1
4260,222,399,1,12.5,2016.08,0,0,0,5,2,1
3656,311,559,1,12.5,2016.08,0,0,0,3,5,1
4073,254,457,1,12.5,2016.08,0,0,0,4,2,1
3849,295,531,1,12.5,2016.08,0,0,0,4,1,1
1923,541,1082,1,12.5,2016.08,0,0,0,1,5,1
2260,502,1004,1,12.5,2016.08,0,0,0,1,5,1
1747,595,1309,1,12.5,2016.08,0,0,0,1,5,1
4036,264,475,1,12.5,2016.08,0,0,0,4,1,1
4007,269,484,1,12.5,2016.08,0,0,0,4,1,1
2911,373,746,1,12.5,2016.08,0,0,0,2,4,1
2117,527,1054,1,12.75,2016.08,0,0,0,1,5,1
4346,214,385,1,12.8,2016.08,0,0,0,5,2,1
4956,135,216,1,12.88,2016.08,0,0,0,6,1,1
2526,298,536,1,12.9,2016.08,0,0,0,4,1,1
3007,403,806,1,12.9,2016.08,0,0,0,2,4,1
5885,8,8,1,12.9,2016.08,0,0,0,10,2,1
3004,404,808,1,12.9,2016.08,0,0,0,2,4,1
2902,419,838,1,12.9,2016.08,0,0,0,2,4,1
2340,490,980,1,12.9,2016.08,0,0,0,1,4,1
2866,423,846,1,12.9,2016.08,0,0,0,2,4,1
3540,337,606,1,12.9,2016.08,0,0,0,3,5,1
2779,342,615,1,12.9,2016.08,0,0,0,3,5,1
3622,329,592,1,12.9,2016.08,0,0,0,3,5,1
4546,191,343,1,12.9,2016.08,0,0,0,5,1,1
4003,272,489,1,12.9,2016.08,0,0,0,4,1,1
3141,380,760,1,12.9,2016.08,0,0,0,2,4,1
2287,448,896,1,12.9,2016.08,0,0,0,2,4,1
3137,381,762,1,12.9,2016.08,0,0,0,2,4,1
3659,324,583,1,12.9,2016.08,0,0,0,3,5,1
2097,533,1066,1,12.9,2016.08,0,0,0,1,5,1
568,283,509,1,12.9,2016.08,0,0,0,4,2,1
3184,372,744,1,12.9,2016.08,0,0,0,2,4,1
3608,330,594,1,12.98,2016.08,0,0,0,3,5,1
3147,380,760,1,13.0,2016.08,0,0,0,2,4,1
2980,408,816,1,13.0,2016.08,0,0,0,2,4,1
3385,355,639,1,13.0,2016.08,0,0,0,3,4,1
3522,339,610,1,13.0,2016.08,0,0,0,3,5,1
2804,433,866,1,13.0,2016.08,0,0,0,2,4,1
3375,356,640,1,13.0,2016.08,0,0,0,3,4,1
4278,220,396,1,13.0,2016.08,0,0,0,5,2,1
2357,486,972,1,13.0,2016.08,0,0,0,1,4,1
736,518,1036,1,13.0,2016.08,0,0,0,1,5,1
2920,416,832,1,13.0,2016.08,0,0,0,2,4,1
2185,514,1028,1,13.0,2016.08,0,0,0,1,5,1
4254,217,390,1,13.0,2016.08,0,0,0,5,2,1
1816,579,1273,1,13.0,2016.08,0,0,0,1,5,1
1041,563,1238,1,13.05,2016.08,0,0,0,1,5,1
1953,554,1218,1,13.05,2016.08,0,0,0,1,5,1
3480,344,619,1,13.15,2016.08,0,0,0,3,5,1
5772,24,26,1,13.19,2016.08,0,0,0,9,2,1
2819,412,824,1,13.25,2016.08,0,0,0,2,4,1
2216,509,1018,1,13.4,2016.08,0,0,0,1,5,1
3614,329,592,1,13.41,2016.08,0,0,0,3,5,1
3408,353,635,1,13.5,2016.08,0,0,0,3,4,1
3582,333,599,1,13.5,2016.08,0,0,0,3,5,1
4034,264,475,1,13.5,2016.08,0,0,0,4,1,1
