user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
72,7,7,2,0.0,2015.03,1,0,0,8,6,1
2005,26,28,1,0.25,2015.03,0,0,0,5,1,1
1990,28,30,1,0.25,2015.03,0,0,0,5,1,1
944,8,8,2,0.8,2015.03,77,38,0,8,5,1
16082,26,28,1,1.25,2015.03,0,0,0,5,1,1
1770,61,85,1,1.25,2015.03,0,0,0,2,4,1
2159,1,1,1,2.9,2015.03,0,0,0,10,2,1
2142,6,6,1,2.9,2015.03,0,0,0,9,2,1
1687,89,124,1,3.0,2015.03,0,0,0,1,1,1
1897,46,55,1,4.5,2015.03,0,0,0,3,5,1
2012,20,22,1,4.5,2015.03,0,0,0,6,2,1
1796,64,89,1,5.0,2015.03,0,0,0,2,3,1
1746,77,107,1,6.0,2015.03,0,0,0,1,4,1
2157,3,3,1,6.0,2015.03,0,0,0,9,2,1
2098,1,1,1,6.0,2015.03,0,0,0,10,2,1
1758,74,103,1,6.0,2015.03,0,0,0,1,4,1
2058,20,22,1,6.25,2015.03,0,0,0,6,2,1
1697,87,121,1,7.0,2015.03,0,0,0,1,3,1
2034,20,22,1,7.0,2015.03,0,0,0,6,2,1
1959,34,40,1,7.0,2015.03,0,0,0,4,2,1
1958,29,31,1,7.0,2015.03,0,0,0,4,1,1
2033,23,25,1,7.0,2015.03,0,0,0,5,1,1
2007,26,28,1,7.0,2015.03,0,0,0,5,1,1
1678,10,10,2,7.4,2015.03,10,5,1,7,6,1
427,75,105,1,7.5,2015.03,0,0,0,1,4,1
1724,79,110,1,8.5,2015.03,0,0,0,1,4,1
2128,3,3,1,9.55,2015.03,0,0,0,9,2,1
2116,11,11,1,10.0,2015.03,0,0,0,7,3,1
2040,23,25,1,10.0,2015.03,0,0,0,5,1,1
1890,39,46,1,10.0,2015.03,0,0,0,3,1,1
592,3,3,2,10.3,2015.03,9,4,1,9,6,1
1980,29,31,1,10.5,2015.03,0,0,0,4,1,1
2147,5,5,1,10.5,2015.03,0,0,0,9,2,1
1283,19,20,1,11.25,2015.03,0,0,0,6,3,1
1765,72,100,1,11.25,2015.03,0,0,0,1,4,1
1050,14,14,1,11.25,2015.03,0,0,0,6,3,1
310,73,102,1,11.5,2015.03,0,0,0,1,4,1
2123,10,10,1,11.61,2015.03,0,0,0,7,3,1
648,10,10,1,11.8,2015.03,0,0,0,7,2,1
2148,5,5,1,11.8,2015.03,0,0,0,9,2,1
1328,78,109,1,12.0,2015.03,0,0,0,1,3,1
2112,11,11,1,12.0,2015.03,0,0,0,7,3,1
1827,57,68,1,12.0,2015.03,0,0,0,2,4,1
1781,68,95,1,12.0,2015.03,0,0,0,2,3,1
1713,83,116,1,12.0,2015.03,0,0,0,1,4,1
2008,26,28,1,12.0,2015.03,0,0,0,5,1,1
1747,76,106,1,12.5,2015.03,0,0,0,1,4,1
1923,22,24,1,12.5,2015.03,0,0,0,5,1,1
