user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
2186,4,4,17,0.0,2015.07,112,6,1,10,10,1
72,18,19,8,0.0,2015.07,112,14,1,8,9,1
2673,4,4,8,0.0,2015.07,47,5,1,10,9,1
1748,15,15,9,0.0,2015.07,50,5,1,8,9,1
1990,150,240,1,0.25,2015.07,0,0,0,1,4,1
2005,148,236,1,0.25,2015.07,0,0,0,1,4,1
2440,80,112,1,0.9,2015.07,0,0,0,3,1,1
2632,57,68,1,0.99,2015.07,0,0,0,5,1,1
1770,183,329,1,1.25,2015.07,0,0,0,1,4,1
944,31,37,5,1.3,2015.07,176,35,0,6,8,1
2789,37,44,1,2.4,2015.07,0,0,0,6,2,1
2751,3,3,7,2.7,2015.07,40,5,1,10,9,1
2733,44,52,1,2.9,2015.07,0,0,0,5,1,1
2271,103,164,1,2.9,2015.07,0,0,0,3,5,1
2159,123,196,1,2.9,2015.07,0,0,0,2,4,1
2142,128,204,1,2.9,2015.07,0,0,0,2,3,1
2646,30,33,1,3.0,2015.07,0,0,0,6,3,1
2700,47,56,1,3.5,2015.07,0,0,0,5,1,1
2449,79,110,1,3.5,2015.07,0,0,0,4,1,1
2958,1,1,1,4.0,2015.07,0,0,0,10,2,1
1897,168,268,1,4.5,2015.07,0,0,0,1,4,1
1356,89,124,1,4.75,2015.07,0,0,0,3,5,1
2550,68,95,1,4.9,2015.07,0,0,0,4,2,1
2684,49,58,1,5.0,2015.07,0,0,0,5,1,1
2760,41,49,1,5.3,2015.07,0,0,0,6,3,1
2441,80,112,1,5.4,2015.07,0,0,0,3,1,1
2157,125,200,1,6.0,2015.07,0,0,0,2,4,1
1746,199,358,1,6.0,2015.07,0,0,0,1,3,1
2442,80,112,1,6.0,2015.07,0,0,0,3,1,1
2131,112,179,1,6.0,2015.07,0,0,0,2,4,1
2356,90,125,1,6.0,2015.07,0,0,0,3,5,1
2098,123,196,1,6.0,2015.07,0,0,0,2,4,1
2708,47,56,1,6.0,2015.07,0,0,0,5,1,1
1588,43,51,1,6.0,2015.07,0,0,0,6,3,1
2776,39,46,1,6.0,2015.07,0,0,0,6,3,1
2485,75,105,1,6.0,2015.07,0,0,0,4,2,1
2850,16,17,1,6.0,2015.07,0,0,0,8,2,1
1758,196,352,1,6.0,2015.07,0,0,0,1,3,1
2058,142,227,1,6.25,2015.07,0,0,0,2,4,1
1958,151,241,1,7.0,2015.07,0,0,0,1,4,1
2007,148,236,1,7.0,2015.07,0,0,0,1,4,1
2034,142,227,1,7.0,2015.07,0,0,0,2,4,1
1959,156,249,1,7.0,2015.07,0,0,0,1,4,1
1697,209,376,1,7.0,2015.07,0,0,0,1,5,1
2033,145,232,1,7.0,2015.07,0,0,0,2,4,1
101,37,44,1,8.58,2015.07,0,0,0,6,2,1
2612,58,69,1,8.9,2015.07,0,0,0,5,1,1
2865,26,28,1,9.5,2015.07,0,0,0,7,3,1
2128,125,200,1,9.55,2015.07,0,0,0,2,4,1
2420,82,114,1,10.0,2015.07,0,0,0,3,1,1
2040,145,232,1,10.0,2015.07,0,0,0,2,4,1
2946,16,17,1,10.0,2015.07,0,0,0,8,2,1
2740,44,52,1,10.0,2015.07,0,0,0,5,1,1
2244,107,171,1,10.0,2015.07,0,0,0,2,4,1
2306,68,95,1,10.0,2015.07,0,0,0,4,2,1
2234,12,12,1,10.25,2015.07,0,0,0,8,2,1
2822,33,39,1,10.25,2015.07,0,0,0,6,3,1
3019,5,5,1,10.25,2015.07,0,0,0,9,2,1
2530,71,99,1,10.4,2015.07,0,0,0,4,1,1
2952,16,17,1,10.4,2015.07,0,0,0,8,2,1
2722,33,39,1,10.4,2015.07,0,0,0,6,3,1
1980,151,241,1,10.5,2015.07,0,0,0,1,4,1
2147,127,203,1,10.5,2015.07,0,0,0,2,3,1
2774,40,48,1,10.65,2015.07,0,0,0,6,3,1
2849,29,31,1,10.75,2015.07,0,0,0,7,3,1
2321,95,152,1,10.9,2015.07,0,0,0,3,4,1
2181,119,190,1,10.98,2015.07,0,0,0,2,4,1
2262,103,164,1,11.0,2015.07,0,0,0,3,5,1
2839,31,37,1,11.25,2015.07,0,0,0,6,3,1
3018,2,2,1,11.25,2015.07,0,0,0,10,2,1
2335,43,51,1,11.25,2015.07,0,0,0,6,2,1
1173,68,95,1,11.25,2015.07,0,0,0,4,2,1
1765,194,349,1,11.25,2015.07,0,0,0,1,3,1
2703,45,54,1,11.25,2015.07,0,0,0,5,1,1
2869,26,28,1,11.25,2015.07,0,0,0,7,3,1
2994,9,9,1,11.4,2015.07,0,0,0,9,2,1
310,195,351,1,11.5,2015.07,0,0,0,1,3,1
1012,58,69,1,11.5,2015.07,0,0,0,5,1,1
2747,44,52,1,11.5,2015.07,0,0,0,5,1,1
2123,132,211,1,11.61,2015.07,0,0,0,2,3,1
2307,98,156,1,12.0,2015.07,0,0,0,3,5,1
2008,148,236,1,12.0,2015.07,0,0,0,1,4,1
2842,31,37,1,12.0,2015.07,0,0,0,6,3,1
1328,200,360,1,12.0,2015.07,0,0,0,1,4,1
