user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
2218,85,118,1,0.0,2016.05,0,0,0,7,3,1
4306,126,201,1,0.0,2016.05,0,0,0,6,1,1
4298,126,201,1,0.0,2016.05,0,0,0,6,1,1
4299,126,201,1,0.0,2016.05,0,0,0,6,1,1
4675,81,113,1,0.0,2016.05,0,0,0,7,3,1
4311,125,200,1,0.0,2016.05,0,0,0,6,1,1
4305,126,201,1,0.0,2016.05,0,0,0,6,1,1
4598,93,148,1,0.0,2016.05,0,0,0,7,3,1
4302,126,201,1,0.0,2016.05,0,0,0,6,1,1
4307,126,201,1,0.0,2016.05,0,0,0,6,1,1
4324,124,198,1,0.0,2016.05,0,0,0,6,1,1
4322,124,198,1,0.0,2016.05,0,0,0,6,1,1
4313,125,200,1,0.0,2016.05,0,0,0,6,1,1
2186,204,367,31,0.0,2016.05,217,7,1,4,10,1
4323,124,198,1,0.0,2016.05,0,0,0,6,1,1
3486,226,406,5,0.0,2016.05,22,4,1,4,8,1
4331,124,198,1,0.0,2016.05,0,0,0,6,1,1
4325,124,198,1,0.0,2016.05,0,0,0,6,1,1
2460,29,31,1,0.0,2016.05,0,0,0,8,2,1
4301,126,201,1,0.0,2016.05,0,0,0,6,1,1
741,114,182,1,0.0,2016.05,0,0,0,6,3,1
1990,455,910,1,0.25,2016.05,0,0,0,1,3,1
2005,453,906,1,0.25,2016.05,0,0,0,1,3,1
2440,385,770,1,0.9,2016.05,0,0,0,1,5,1
2632,362,651,1,0.99,2016.05,0,0,0,2,4,1
4235,116,185,1,1.15,2016.05,0,0,0,6,3,1
3717,223,401,1,1.25,2016.05,0,0,0,4,2,1
3344,267,480,1,1.25,2016.05,0,0,0,3,5,1
1770,488,976,1,1.25,2016.05,0,0,0,1,5,1
3345,267,480,1,1.25,2016.05,0,0,0,3,5,1
944,336,604,5,1.3,2016.05,176,35,0,2,8,1
2789,342,615,1,2.4,2016.05,0,0,0,2,4,1
1748,203,365,20,2.7,2016.05,167,8,1,4,10,1
3508,203,365,8,2.7,2016.05,45,5,1,4,9,1
2159,428,856,1,2.9,2016.05,0,0,0,1,4,1
2142,433,866,1,2.9,2016.05,0,0,0,1,4,1
3468,253,455,1,2.9,2016.05,0,0,0,3,1,1
4065,166,265,1,2.9,2016.05,0,0,0,5,1,1
2733,349,628,1,2.9,2016.05,0,0,0,2,4,1
4060,168,268,1,2.9,2016.05,0,0,0,5,1,1
3440,257,462,1,2.9,2016.05,0,0,0,3,1,1
2646,335,603,1,3.0,2016.05,0,0,0,2,4,1
3227,183,329,1,3.0,2016.05,0,0,0,5,1,1
2449,384,768,1,3.5,2016.05,0,0,0,1,5,1
2700,352,633,1,3.5,2016.05,0,0,0,2,4,1
2958,306,550,1,4.0,2016.05,0,0,0,3,4,1
4029,143,228,1,4.0,2016.05,0,0,0,5,1,1
1897,473,946,1,4.5,2016.05,0,0,0,1,4,1
1356,394,788,1,4.75,2016.05,0,0,0,1,5,1
2550,373,746,1,4.9,2016.05,0,0,0,2,5,1
2684,354,637,1,5.0,2016.05,0,0,0,2,4,1
2760,346,622,1,5.3,2016.05,0,0,0,2,4,1
2441,385,770,1,5.4,2016.05,0,0,0,1,5,1
3058,251,451,2,5.8,2016.05,52,26,1,4,6,1
4459,111,177,1,5.9,2016.05,0,0,0,6,3,1
1758,501,1002,1,6.0,2016.05,0,0,0,1,4,1
2968,275,495,1,6.0,2016.05,0,0,0,3,4,1
2776,344,619,1,6.0,2016.05,0,0,0,2,4,1
2131,417,834,1,6.0,2016.05,0,0,0,1,4,1
3963,182,327,1,6.0,2016.05,0,0,0,5,1,1
2157,430,860,1,6.0,2016.05,0,0,0,1,4,1
2442,385,770,1,6.0,2016.05,0,0,0,1,5,1
2098,428,856,1,6.0,2016.05,0,0,0,1,4,1
1588,348,626,1,6.0,2016.05,0,0,0,2,4,1
2356,395,790,1,6.0,2016.05,0,0,0,1,5,1
2708,352,633,1,6.0,2016.05,0,0,0,2,4,1
2058,447,894,1,6.25,2016.05,0,0,0,1,4,1
4320,125,200,1,6.3,2016.05,0,0,0,6,1,1
2033,450,900,1,7.0,2016.05,0,0,0,1,3,1
1959,461,922,1,7.0,2016.05,0,0,0,1,4,1
2007,453,906,1,7.0,2016.05,0,0,0,1,3,1
2034,447,894,1,7.0,2016.05,0,0,0,1,4,1
1697,514,1028,1,7.0,2016.05,0,0,0,1,1,1
4338,123,196,1,7.4,2016.05,0,0,0,6,1,1
4899,44,52,1,7.9,2016.05,0,0,0,8,2,1
3529,225,405,4,7.95,2016.05,21,5,1,4,8,1
101,342,615,1,8.58,2016.05,0,0,0,2,4,1
4163,142,227,1,8.9,2016.05,0,0,0,5,1,1
2612,363,653,1,8.9,2016.05,0,0,0,2,4,1
4682,80,112,1,9.41,2016.05,0,0,0,7,3,1
2865,331,595,1,9.5,2016.05,0,0,0,2,4,1
