user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
4323,3,3,1,0.0,2016.01,0,0,0,10,4,1
4331,3,3,1,0.0,2016.01,0,0,0,10,5,1
4322,3,3,1,0.0,2016.01,0,0,0,10,4,1
4305,5,5,1,0.0,2016.01,0,0,0,10,5,1
4307,5,5,1,0.0,2016.01,0,0,0,10,5,1
4313,4,4,1,0.0,2016.01,0,0,0,10,5,1
72,202,363,8,0.0,2016.01,112,14,1,3,9,1
4298,5,5,1,0.0,2016.01,0,0,0,10,5,1
3486,105,168,5,0.0,2016.01,22,4,1,6,8,1
4306,5,5,1,0.0,2016.01,0,0,0,10,5,1
4311,4,4,1,0.0,2016.01,0,0,0,10,5,1
4325,3,3,1,0.0,2016.01,0,0,0,10,5,1
4324,3,3,1,0.0,2016.01,0,0,0,10,5,1
4302,5,5,1,0.0,2016.01,0,0,0,10,5,1
4299,5,5,1,0.0,2016.01,0,0,0,10,5,1
2186,83,116,31,0.0,2016.01,217,7,1,6,10,1
4301,5,5,1,0.0,2016.01,0,0,0,10,5,1
4304,5,5,1,0.0,2016.01,0,0,0,10,5,1
1990,334,601,1,0.25,2016.01,0,0,0,1,4,1
2005,332,597,1,0.25,2016.01,0,0,0,1,4,1
2440,264,475,1,0.9,2016.01,0,0,0,2,4,1
2632,241,433,1,0.99,2016.01,0,0,0,2,5,1
1770,367,734,1,1.25,2016.01,0,0,0,1,4,1
3345,146,233,1,1.25,2016.01,0,0,0,4,1,1
3717,102,163,1,1.25,2016.01,0,0,0,6,3,1
3344,146,233,1,1.25,2016.01,0,0,0,4,1,1
944,215,387,5,1.3,2016.01,176,35,0,3,8,1
142,105,168,1,2.0,2016.01,0,0,0,6,3,1
2789,221,397,1,2.4,2016.01,0,0,0,3,5,1
1748,82,114,20,2.7,2016.01,167,8,1,6,10,1
3508,82,114,8,2.7,2016.01,45,5,1,6,9,1
4065,45,54,1,2.9,2016.01,0,0,0,8,2,1
3198,111,177,1,2.9,2016.01,0,0,0,5,3,1
4060,47,56,1,2.9,2016.01,0,0,0,8,2,1
2733,228,410,1,2.9,2016.01,0,0,0,3,5,1
3468,132,211,1,2.9,2016.01,0,0,0,5,1,1
2271,287,516,1,2.9,2016.01,0,0,0,1,3,1
2142,312,561,1,2.9,2016.01,0,0,0,1,4,1
