user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
2751,7,7,2,0.0,2015.06,5,2,1,9,6,1
1748,5,5,6,0.0,2015.06,29,4,1,9,9,1
72,1,1,6,0.0,2015.06,98,16,1,10,9,1
2186,1,1,13,0.0,2015.06,84,6,1,10,10,1
2673,1,1,4,0.0,2015.06,19,4,1,10,8,1
1990,119,190,1,0.25,2015.06,0,0,0,2,3,1
2005,117,187,1,0.25,2015.06,0,0,0,2,4,1
944,26,28,4,0.8,2015.06,150,37,0,6,8,1
2440,49,58,1,0.9,2015.06,0,0,0,4,1,1
2632,26,28,1,0.99,2015.06,0,0,0,6,2,1
1770,152,243,1,1.25,2015.06,0,0,0,1,4,1
2789,6,6,1,2.4,2015.06,0,0,0,9,1,1
2271,72,100,1,2.9,2015.06,0,0,0,3,3,1
2248,18,19,1,2.9,2015.06,0,0,0,7,2,1
2733,13,13,1,2.9,2015.06,0,0,0,8,2,1
2159,92,147,1,2.9,2015.06,0,0,0,2,5,1
2142,97,155,1,2.9,2015.06,0,0,0,2,5,1
2449,48,57,1,3.5,2015.06,0,0,0,4,1,1
2700,16,17,1,3.5,2015.06,0,0,0,7,2,1
1897,137,219,1,4.5,2015.06,0,0,0,1,3,1
1356,58,69,1,4.75,2015.06,0,0,0,4,2,1
2550,37,44,1,4.9,2015.06,0,0,0,5,2,1
2764,6,6,1,5.0,2015.06,0,0,0,9,1,1
2684,18,19,1,5.0,2015.06,0,0,0,7,2,1
2760,10,10,1,5.3,2015.06,0,0,0,8,3,1
2441,49,58,1,5.4,2015.06,0,0,0,4,1,1
1588,12,12,1,6.0,2015.06,0,0,0,8,2,1
2708,16,17,1,6.0,2015.06,0,0,0,7,2,1
2356,59,70,1,6.0,2015.06,0,0,0,4,2,1
2485,44,52,1,6.0,2015.06,0,0,0,5,1,1
1758,165,264,1,6.0,2015.06,0,0,0,1,4,1
1746,168,268,1,6.0,2015.06,0,0,0,1,4,1
2442,49,58,1,6.0,2015.06,0,0,0,4,1,1
2098,92,147,1,6.0,2015.06,0,0,0,2,4,1
2157,94,150,1,6.0,2015.06,0,0,0,2,4,1
2131,81,113,1,6.0,2015.06,0,0,0,3,5,1
2776,8,8,1,6.0,2015.06,0,0,0,9,2,1
2058,111,177,1,6.25,2015.06,0,0,0,2,4,1
1958,120,192,1,7.0,2015.06,0,0,0,2,3,1
2034,111,177,1,7.0,2015.06,0,0,0,2,4,1
2033,114,182,1,7.0,2015.06,0,0,0,2,4,1
2007,117,187,1,7.0,2015.06,0,0,0,2,4,1
1697,178,284,1,7.0,2015.06,0,0,0,1,1,1
1959,125,200,1,7.0,2015.06,0,0,0,1,3,1
101,6,6,1,8.58,2015.06,0,0,0,9,1,1
2612,27,29,1,8.9,2015.06,0,0,0,6,2,1
2128,94,150,1,9.55,2015.06,0,0,0,2,4,1
2420,51,61,1,10.0,2015.06,0,0,0,4,1,1
2740,13,13,1,10.0,2015.06,0,0,0,8,2,1
2244,76,106,1,10.0,2015.06,0,0,0,3,5,1
2725,13,13,1,10.0,2015.06,0,0,0,8,2,1
2306,37,44,1,10.0,2015.06,0,0,0,5,2,1
2040,114,182,1,10.0,2015.06,0,0,0,2,4,1
2822,2,2,1,10.25,2015.06,0,0,0,10,5,1
2530,40,48,1,10.4,2015.06,0,0,0,5,2,1
2722,2,2,1,10.4,2015.06,0,0,0,10,4,1
1980,120,192,1,10.5,2015.06,0,0,0,2,3,1
2147,96,153,1,10.5,2015.06,0,0,0,2,5,1
