user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,344,619,3,90.0,2015.12,10,3,1
15,42,50,1,25.8,2015.12,0,0,0
17,121,193,2,172.75,2015.12,27,13,1
24,32,38,9,165.95,2015.12,325,36,0
30,233,419,4,84.75,2015.12,87,21,1
34,10,10,12,668.2,2015.12,303,25,1
37,111,177,1,19.5,2015.12,0,0,0
38,359,646,1,38.5,2015.12,0,0,0
43,73,102,1,69.0,2015.12,0,0,0
45,277,498,4,72.0,2015.12,69,17,1
46,44,52,6,188.6,2015.12,296,49,0
48,236,424,2,103.2,2015.12,119,59,0
52,19,20,31,1220.45,2015.12,333,10,1
57,4,4,8,332.7,2015.12,356,44,0
58,60,72,13,424.75,2015.12,192,14,1
61,16,17,20,577.7,2015.12,329,16,1
63,15,15,7,300.9,2015.12,321,45,0
72,171,273,8,0.0,2015.12,112,14,1
75,9,9,15,752.5,2015.12,224,14,1
76,153,244,6,280.8,2015.12,205,34,0
79,225,405,3,54.55,2015.12,34,11,1
87,296,532,2,92.5,2015.12,41,20,1
88,304,547,1,111.0,2015.12,0,0,0
91,82,114,8,222.6,2015.12,277,34,0
100,17,18,5,192.9,2015.12,175,35,0
101,190,342,1,8.58,2015.12,0,0,0
104,13,13,29,2173.4,2015.12,349,12,1
105,81,113,1,64.6,2015.12,0,0,0
106,15,15,35,1203.28,2015.12,336,9,1
117,134,214,1,109.88,2015.12,0,0,0
129,15,15,14,331.78,2015.12,297,21,1
141,40,48,6,137.45,2015.12,272,45,0
142,74,103,1,2.0,2015.12,0,0,0
143,13,13,55,651.25,2015.12,349,6,1
146,180,288,1,59.9,2015.12,0,0,0
164,55,66,4,128.0,2015.12,273,68,0
165,51,61,1,40.0,2015.12,0,0,0
166,225,405,1,18.0,2015.12,0,0,0
170,10,10,69,2945.48,2015.12,349,5,1
177,13,13,20,655.27,2015.12,321,16,1
178,23,25,38,165.05,2015.12,323,8,1
179,46,55,3,282.2,2015.12,308,102,0
180,12,12,10,240.94,2015.12,327,32,0
181,209,376,2,63.2,2015.12,133,66,0
182,15,15,11,292.55,2015.12,346,31,0
183,3,3,26,554.49,2015.12,349,13,1
186,75,105,4,119.55,2015.12,25,6,1
193,248,446,1,18.9,2015.12,0,0,0
197,305,549,2,16.5,2015.12,8,4,1
210,59,70,8,723.1,2015.12,293,36,0
219,102,163,4,96.95,2015.12,164,41,0
222,272,489,1,27.0,2015.12,0,0,0
223,80,112,14,247.65,2015.12,269,19,1
225,213,383,2,50.0,2015.12,92,46,0
227,263,473,1,15.0,2015.12,0,0,0
231,95,152,6,290.4,2015.12,43,7,1
235,18,19,1,36.0,2015.12,0,0,0
240,60,72,10,280.95,2015.12,291,29,1
247,353,635,1,22.0,2015.12,0,0,0
257,204,367,1,61.0,2015.12,0,0,0
264,331,595,2,40.5,2015.12,1,0,0
276,175,280,1,25.8,2015.12,0,0,0
282,30,33,12,556.9,2015.12,330,27,1
294,48,57,5,130.1,2015.12,116,23,1
300,114,182,4,66.5,2015.12,104,26,1
302,81,113,7,286.2,2015.12,278,39,0
303,63,88,8,10.56,2015.12,45,5,1
310,348,626,1,11.5,2015.12,0,0,0
316,17,18,11,333.15,2015.12,324,29,1
321,61,85,26,502.25,2015.12,293,11,1
327,199,358,1,16.0,2015.12,0,0,0
329,12,12,47,748.25,2015.12,336,7,1
330,8,8,14,321.97,2015.12,290,20,1
342,105,168,8,146.05,2015.12,235,29,1
343,219,394,1,25.8,2015.12,0,0,0
346,24,26,6,89.00999999999999,2015.12,225,37,0
347,10,10,3,149.6,2015.12,344,114,0
349,73,102,6,95.0,2015.12,209,34,0
352,84,117,6,288.4,2015.12,215,35,0
367,9,9,15,483.2,2015.12,290,19,1
368,10,10,15,296.0,2015.12,309,20,1
377,256,460,1,63.53,2015.12,0,0,0
380,28,30,13,843.2,2015.12,330,25,1
398,281,505,8,181.79,2015.12,76,9,1
403,173,276,5,72.0,2015.12,184,36,0
404,261,469,1,25.8,2015.12,0,0,0
415,161,257,4,177.4,2015.12,179,44,0
426,12,12,24,877.5,2015.12,322,13,1
427,120,192,8,100.62,2015.12,230,28,1
439,16,17,7,110.92,2015.12,300,42,0
440,91,145,2,51.6,2015.12,55,27,1
