user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,557,1225,3,90.0,2016.07,10,3,0
15,80,112,3,66.2,2016.07,175,58,0
17,334,601,2,172.75,2016.07,27,13,1
20,152,243,1,15.9,2016.07,0,0,0
24,46,55,15,338.86,2016.07,524,34,0
30,446,892,4,84.75,2016.07,87,21,0
34,13,13,19,965.53,2016.07,513,27,1
37,324,583,1,19.5,2016.07,0,0,0
38,572,1258,1,38.5,2016.07,0,0,0
43,286,514,1,69.0,2016.07,0,0,0
45,490,980,4,72.0,2016.07,69,17,0
46,257,462,6,188.6,2016.07,296,49,0
48,449,898,2,103.2,2016.07,119,59,0
52,10,10,50,2213.68,2016.07,555,11,1
57,8,8,17,638.75,2016.07,565,33,0
58,273,491,13,424.75,2016.07,192,14,1
61,10,10,38,1065.88,2016.07,548,14,1
63,33,39,14,660.52,2016.07,516,36,0
65,159,254,1,32.43,2016.07,0,0,0
72,12,12,12,331.07000000000005,2016.07,484,40,0
73,16,17,1,57.6,2016.07,0,0,0
75,92,147,26,1190.45,2016.07,354,13,1
76,366,732,6,280.8,2016.07,205,34,0
79,438,876,3,54.55,2016.07,34,11,0
87,509,1018,2,92.5,2016.07,41,20,0
88,517,1034,1,111.0,2016.07,0,0,0
91,2,2,14,395.24,2016.07,570,40,0
100,26,28,8,286.85,2016.07,379,47,0
101,403,806,1,8.58,2016.07,0,0,0
104,10,10,44,3498.06,2016.07,565,12,1
105,294,529,1,64.6,2016.07,0,0,0
106,12,12,54,1902.23,2016.07,552,10,1
117,347,624,1,109.88,2016.07,0,0,0
129,27,29,20,580.29,2016.07,498,24,1
139,164,262,1,26.8,2016.07,0,0,0
141,20,22,12,299.65,2016.07,505,42,0
142,68,95,2,56.0,2016.07,219,109,0
143,3,3,79,1378.63,2016.07,572,7,1
146,393,786,1,59.9,2016.07,0,0,0
155,188,338,2,26.65,2016.07,12,6,1
164,58,69,8,256.0,2016.07,483,60,0
165,264,475,1,40.0,2016.07,0,0,0
166,438,876,1,18.0,2016.07,0,0,0
170,6,6,103,3671.36,2016.07,566,5,1
177,18,19,32,1067.53,2016.07,529,16,1
178,7,7,50,567.84,2016.07,552,11,1
179,83,116,6,469.25,2016.07,484,80,0
180,5,5,16,425.28,2016.07,547,34,0
181,422,844,2,63.2,2016.07,133,66,0
182,5,5,15,417.77,2016.07,569,37,0
183,28,30,35,819.3199999999999,2016.07,537,15,1
186,288,518,4,119.55,2016.07,25,6,1
193,461,922,1,18.9,2016.07,0,0,0
197,518,1036,2,16.5,2016.07,8,4,0
205,168,268,1,22.0,2016.07,0,0,0
210,12,12,15,1349.06,2016.07,553,36,0
216,191,343,1,22.0,2016.07,0,0,0
219,315,567,4,96.95,2016.07,164,41,0
222,485,970,1,27.0,2016.07,0,0,0
223,130,208,17,357.62,2016.07,432,25,1
225,426,852,2,50.0,2016.07,92,46,0
227,15,15,3,68.25,2016.07,461,153,0
231,308,554,6,290.4,2016.07,43,7,1
235,231,415,1,36.0,2016.07,0,0,0
240,11,11,15,443.24,2016.07,553,36,0
247,566,1245,1,22.0,2016.07,0,0,0
257,417,834,1,61.0,2016.07,0,0,0
264,544,1088,2,40.5,2016.07,1,0,0
268,160,256,1,26.8,2016.07,0,0,0
276,28,30,3,101.76,2016.07,360,120,0
282,39,46,18,769.66,2016.07,534,29,1
294,26,28,8,289.98,2016.07,351,43,0
300,7,7,11,346.13,2016.07,424,38,0
302,40,48,10,449.59,2016.07,532,53,0
303,276,496,8,10.56,2016.07,45,5,1
310,561,1234,1,11.5,2016.07,0,0,0
316,27,29,16,568.8,2016.07,527,32,0
321,27,29,34,686.37,2016.07,540,15,1
327,412,824,1,16.0,2016.07,0,0,0
329,155,248,53,862.25,2016.07,406,7,1
330,10,10,24,556.77,2016.07,501,20,1
332,69,96,1,34.79,2016.07,0,0,0
337,76,106,1,16.5,2016.07,0,0,0
342,318,572,8,146.05,2016.07,235,29,1
343,432,864,1,25.8,2016.07,0,0,0
346,14,14,8,135.3,2016.07,448,56,0
347,223,401,3,149.6,2016.07,344,114,0
349,25,27,8,138.72,2016.07,470,58,0
352,297,534,6,288.4,2016.07,215,35,0
367,15,15,23,812.84,2016.07,497,21,1
368,7,7,25,603.0,2016.07,525,21,1
377,469,938,1,63.53,2016.07,0,0,0
380,241,433,13,843.2,2016.07,330,25,1
387,11,11,2,112.4,2016.07,23,11,1
398,494,988,8,181.79,2016.07,76,9,0
403,386,772,5,72.0,2016.07,184,36,0
404,474,948,1,25.8,2016.07,0,0,0
415,374,748,4,177.4,2016.07,179,44,0
426,53,63,36,1453.63,2016.07,494,13,1
427,333,599,8,100.62,2016.07,230,28,1
437,32,38,1,26.98,2016.07,0,0,0
439,229,412,7,110.92,2016.07,300,42,0
440,304,547,2,51.6,2016.07,55,27,1
441,239,430,2,131.75,2016.07,223,111,0
451,8,8,16,485.13,2016.07,568,35,0
458,491,982,3,98.75,2016.07,74,24,0
468,375,750,18,485.25,2016.07,186,10,0
472,19,20,17,557.5,2016.07,504,29,1
475,161,257,17,690.04,2016.07,399,23,1
479,190,342,1,17.0,2016.07,0,0,0
481,245,441,5,150.65,2016.07,233,46,0
489,441,882,3,85.8,2016.07,81,27,0
492,14,14,16,807.83,2016.07,551,34,0
495,464,928,2,107.3,2016.07,111,55,0
501,152,243,6,394.9,2016.07,394,65,0
512,539,1078,1,25.5,2016.07,0,0,0
516,55,66,4,134.67000000000002,2016.07,287,71,0
517,313,563,1,37.4,2016.07,0,0,0
521,501,1002,1,28.9,2016.07,0,0,0
522,27,29,3,113.3,2016.07,57,19,1
527,546,1201,1,18.0,2016.07,0,0,0
530,294,529,2,56.85,2016.07,207,103,0
532,17,18,31,1699.63,2016.07,546,17,1
541,41,49,22,437.35,2016.07,533,24,1
542,371,742,29,461.74,2016.07,201,6,0
543,382,764,2,65.4,2016.07,182,91,0
