user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,649,1427,3,90.0,2016.10,10,3,0
15,172,275,3,66.2,2016.10,175,58,0
17,426,852,2,172.75,2016.10,27,13,0
20,49,58,2,40.54,2016.10,195,97,0
24,138,220,15,338.86,2016.10,524,34,0
30,538,1076,4,84.75,2016.10,87,21,0
34,15,15,21,1072.03,2016.10,603,28,1
37,416,832,1,19.5,2016.10,0,0,0
38,664,1460,1,38.5,2016.10,0,0,0
43,378,756,1,69.0,2016.10,0,0,0
45,582,1280,4,72.0,2016.10,69,17,0
46,349,628,6,188.6,2016.10,296,49,0
48,541,1082,2,103.2,2016.10,119,59,0
52,9,9,58,2580.07,2016.10,648,11,1
57,9,9,20,704.38,2016.10,656,32,0
58,365,657,13,424.75,2016.10,192,14,1
61,1,1,46,1290.59,2016.10,649,14,1
63,33,39,15,703.2,2016.10,608,40,0
65,251,451,1,32.43,2016.10,0,0,0
72,104,166,12,331.07000000000005,2016.10,484,40,0
73,108,172,1,57.6,2016.10,0,0,0
75,43,51,30,1380.59,2016.10,495,16,1
76,458,916,6,280.8,2016.10,205,34,0
79,530,1060,3,54.55,2016.10,34,11,0
87,601,1322,2,92.5,2016.10,41,20,0
88,609,1339,1,111.0,2016.10,0,0,0
91,55,66,15,411.22,2016.10,609,40,0
100,33,39,13,400.82,2016.10,464,35,0
101,495,990,1,8.58,2016.10,0,0,0
102,71,99,1,17.5,2016.10,0,0,0
104,16,17,48,3242.9,2016.10,651,13,1
105,386,772,1,64.6,2016.10,0,0,0
106,6,6,61,2152.03,2016.10,650,10,1
117,439,878,1,109.88,2016.10,0,0,0
129,119,190,20,580.29,2016.10,498,24,1
139,44,52,2,53.6,2016.10,212,106,0
141,10,10,13,334.94,2016.10,607,46,0
142,160,256,2,56.0,2016.10,219,109,0
143,6,6,88,1740.18,2016.10,661,7,1
146,485,970,1,59.9,2016.10,0,0,0
155,280,504,2,26.65,2016.10,12,6,1
164,150,240,8,256.0,2016.10,483,60,0
165,356,640,1,40.0,2016.10,0,0,0
166,530,1060,1,18.0,2016.10,0,0,0
170,26,28,115,3242.9,2016.10,638,5,1
177,38,45,35,1215.16,2016.10,601,17,1
178,10,10,54,718.8299999999999,2016.10,641,11,1
179,175,280,6,469.25,2016.10,484,80,0
180,14,14,18,537.93,2016.10,630,35,0
181,514,1028,2,63.2,2016.10,133,66,0
182,19,20,16,443.42,2016.10,647,40,0
183,8,8,40,975.28,2016.10,649,16,1
186,380,760,4,119.55,2016.10,25,6,0
193,553,1216,1,18.9,2016.10,0,0,0
197,610,1342,2,16.5,2016.10,8,4,0
205,260,468,1,22.0,2016.10,0,0,0
210,14,14,17,1492.42,2016.10,643,37,0
216,283,509,1,22.0,2016.10,0,0,0
219,407,814,4,96.95,2016.10,164,41,0
222,577,1269,1,27.0,2016.10,0,0,0
223,222,399,17,357.62,2016.10,432,25,1
225,518,1036,2,50.0,2016.10,92,46,0
227,107,171,3,68.25,2016.10,461,153,0
228,8,8,1,20.8,2016.10,0,0,0
231,400,800,6,290.4,2016.10,43,7,0
235,323,581,1,36.0,2016.10,0,0,0
240,36,43,17,493.13,2016.10,620,36,0
247,658,1447,1,22.0,2016.10,0,0,0
257,509,1018,1,61.0,2016.10,0,0,0
264,636,1399,2,40.5,2016.10,1,0,0
268,252,453,1,26.8,2016.10,0,0,0
276,120,192,3,101.76,2016.10,360,120,0
278,31,37,1,34.0,2016.10,0,0,0
279,14,14,1,26.1,2016.10,0,0,0
282,22,24,20,841.52,2016.10,643,32,0
294,118,188,8,289.98,2016.10,351,43,0
300,4,4,13,404.23,2016.10,519,39,0
302,132,211,10,449.59,2016.10,532,53,0
303,26,28,9,47.84,2016.10,387,43,0
310,653,1436,1,11.5,2016.10,0,0,0
316,23,25,17,600.6700000000001,2016.10,623,36,0
321,19,20,35,706.37,2016.10,640,18,1
327,504,1008,1,16.0,2016.10,0,0,0
329,247,444,53,862.25,2016.10,406,7,1
330,8,8,29,689.25,2016.10,595,20,1
332,161,257,1,34.79,2016.10,0,0,0
337,168,268,1,16.5,2016.10,0,0,0
342,410,820,8,146.05,2016.10,235,29,0
343,524,1048,1,25.8,2016.10,0,0,0
346,106,169,8,135.3,2016.10,448,56,0
347,315,567,3,149.6,2016.10,344,114,0
349,117,187,8,138.72,2016.10,470,58,0
352,389,778,6,288.4,2016.10,215,35,0
354,15,15,2,0.0,2016.10,25,12,1
367,7,7,26,941.53,2016.10,597,22,1
368,28,30,28,701.0,2016.10,596,21,1
377,561,1234,1,63.53,2016.10,0,0,0
380,57,68,15,898.14,2016.10,606,40,0
387,11,11,4,279.49,2016.10,115,28,1
398,586,1289,8,181.79,2016.10,76,9,0
403,478,956,5,72.0,2016.10,184,36,0
404,566,1245,1,25.8,2016.10,0,0,0
415,466,932,4,177.4,2016.10,179,44,0
426,15,15,40,1705.46,2016.10,624,15,1
427,425,850,8,100.62,2016.10,230,28,0
437,124,198,1,26.98,2016.10,0,0,0
439,321,577,7,110.92,2016.10,300,42,0
440,396,792,2,51.6,2016.10,55,27,0
441,331,595,2,131.75,2016.10,223,111,0
451,44,52,17,506.52,2016.10,624,36,0
458,583,1282,3,98.75,2016.10,74,24,0
462,56,67,1,15.9,2016.10,0,0,0
466,19,20,1,41.8,2016.10,0,0,0
468,467,934,18,485.25,2016.10,186,10,0
472,42,50,19,619.5,2016.10,573,30,0
475,253,455,17,690.04,2016.10,399,23,1
479,282,507,1,17.0,2016.10,0,0,0
481,36,43,6,181.65,2016.10,534,89,0
489,533,1066,3,85.8,2016.10,81,27,0
492,33,39,19,1030.63,2016.10,624,32,0
495,556,1223,2,107.3,2016.10,111,55,0
501,41,49,7,447.7,2016.10,597,85,0
512,631,1388,1,25.5,2016.10,0,0,0
516,147,235,4,134.67000000000002,2016.10,287,71,0
517,43,51,2,89.0,2016.10,362,181,0
521,593,1304,1,28.9,2016.10,0,0,0
522,16,17,5,215.51,2016.10,160,32,0
527,638,1403,1,18.0,2016.10,0,0,0
530,386,772,2,56.85,2016.10,207,103,0
532,11,11,35,1889.82,2016.10,644,18,1
541,16,17,24,516.35,2016.10,650,27,1
542,463,926,29,461.74,2016.10,201,6,0
543,474,948,2,65.4,2016.10,182,91,0
549,327,588,8,169.8,2016.10,236,29,1
555,584,1284,1,19.5,2016.10,0,0,0
557,124,198,24,996.65,2016.10,512,21,1
558,139,222,5,112.19,2016.10,254,50,0
560,624,1372,1,14.5,2016.10,0,0,0
563,22,24,8,315.54,2016.10,535,66,0
565,51,61,57,2822.21,2016.10,595,10,1
566,231,415,12,833.51,2016.10,413,34,0
567,21,23,46,1311.36,2016.10,644,14,1
568,344,619,1,12.9,2016.10,0,0,0
569,196,352,14,501.54,2016.10,432,30,0
573,457,914,18,337.25,2016.10,170,9,0
574,8,8,8,576.54,2016.10,622,77,0
577,249,448,17,788.64,2016.10,392,23,1
579,486,972,1,19.4,2016.10,0,0,0
592,46,55,11,146.76,2016.10,546,49,0
594,67,93,18,616.03,2016.10,595,33,0
598,14,14,131,2872.92,2016.10,648,4,1
600,111,177,2,192.35,2016.10,46,23,1
615,490,980,2,25.8,2016.10,37,18,0
619,188,338,15,202.65,2016.10,467,31,0
622,635,1397,1,31.0,2016.10,0,0,0
633,84,117,21,305.76,2016.10,582,27,1
636,496,992,1,25.8,2016.10,0,0,0
640,306,550,1,22.0,2016.10,0,0,0
648,379,758,3,53.1,2016.10,211,70,0
649,133,212,7,156.25,2016.10,484,69,0
653,16,17,29,734.98,2016.10,579,19,1
656,388,776,18,289.55,2016.10,267,14,0
657,157,251,2,32.61,2016.10,261,130,0
660,21,23,8,161.8,2016.10,613,76,0
662,157,251,21,531.65,2016.10,474,22,1
665,41,49,29,833.37,2016.10,611,21,1
666,532,1064,1,14.0,2016.10,0,0,0
668,134,214,5,123.49,2016.10,356,71,0
674,283,509,1,16.0,2016.10,0,0,0
683,3,3,1,20.88,2016.10,0,0,0
684,614,1350,1,19.0,2016.10,0,0,0
691,480,960,5,66.0,2016.10,90,18,0
694,456,912,1,32.0,2016.10,0,0,0
708,19,20,114,3242.9,2016.10,645,5,1
710,274,493,2,42.9,2016.10,321,160,0
713,71,99,13,550.52,2016.10,560,43,0
716,66,92,1,40.0,2016.10,0,0,0
718,21,23,27,811.15,2016.10,633,23,1
728,148,236,8,284.66,2016.10,111,13,1
734,280,504,9,141.4,2016.10,369,41,0
736,579,1273,1,13.0,2016.10,0,0,0
741,267,480,1,0.0,2016.10,0,0,0
744,571,1256,3,81.25,2016.10,92,30,0
746,467,934,3,90.4,2016.10,72,24,0
754,7,7,66,1923.97,2016.10,658,9,1
768,317,570,4,210.8,2016.10,341,85,0
770,131,209,9,227.13,2016.10,504,56,0
771,65,91,8,418.8,2016.10,599,74,0
772,301,541,9,242.4,2016.10,353,39,0
774,2,2,9,234.78,2016.10,357,39,0
775,417,834,1,24.9,2016.10,0,0,0
777,391,782,13,242.4,2016.10,245,18,0
784,70,98,12,348.55,2016.10,570,47,0
785,134,214,4,92.4,2016.10,470,117,0
786,137,219,13,377.78,2016.10,522,40,0
789,427,854,1,37.62,2016.10,0,0,0
790,302,543,2,97.4,2016.10,265,132,0
792,344,619,36,286.25,2016.10,312,8,1
798,30,33,13,468.27,2016.10,314,24,1
800,128,204,13,480.48,2016.10,524,40,0
803,411,822,1,18.9,2016.10,0,0,0
806,407,814,6,217.65,2016.10,250,41,0
807,20,22,47,1098.07,2016.10,646,13,1
808,72,100,14,453.23,2016.10,588,42,0
810,126,201,2,33.0,2016.10,8,4,1
811,373,746,3,66.85,2016.10,44,14,0
812,11,11,8,195.23,2016.10,568,71,0
816,633,1392,1,15.0,2016.10,0,0,0
820,29,31,7,208.78,2016.10,383,54,0
822,421,842,1,64.1,2016.10,0,0,0
826,4,4,38,943.46,2016.10,651,17,1
828,264,475,6,173.1,2016.10,342,57,0
830,19,20,20,487.47,2016.10,549,27,1
831,181,325,4,212.64,2016.10,359,89,0
832,13,13,15,492.25,2016.10,148,9,1
834,198,356,2,242.25,2016.10,7,3,1
835,29,31,17,488.46,2016.10,453,26,1
841,105,168,10,236.02,2016.10,449,44,0
844,267,480,5,99.18,2016.10,329,65,0
849,35,42,6,129.64,2016.10,631,105,0
856,592,1302,5,198.8,2016.10,57,11,0
857,181,325,3,101.99,2016.10,254,84,0
858,491,982,2,44.15,2016.10,146,73,0
866,57,68,3,62.620000000000005,2016.10,550,183,0
868,203,365,7,162.25,2016.10,435,62,0
870,36,43,1,33.0,2016.10,0,0,0
871,454,908,3,80.0,2016.10,71,23,0
875,112,179,5,170.44,2016.10,553,110,0
876,197,354,4,91.5,2016.10,415,103,0
877,43,51,4,101.45,2016.10,441,110,0
882,222,399,2,80.07,2016.10,271,135,0
886,560,1232,2,28.8,2016.10,75,37,0
905,220,396,1,21.29,2016.10,0,0,0
913,156,249,2,124.55,2016.10,426,213,0
918,126,201,4,123.74,2016.10,321,80,0
919,133,212,8,231.39,2016.10,454,56,0
921,503,1006,1,25.8,2016.10,0,0,0
923,59,70,2,62.09,2016.10,133,66,0
926,10,10,45,1772.6,2016.10,654,14,1
928,189,340,28,970.7,2016.10,480,17,1
940,8,8,49,1579.78,2016.10,596,12,1
942,14,14,2,50.37,2016.10,217,108,0
944,141,225,6,147.10000000000002,2016.10,524,87,0
945,14,14,21,659.3,2016.10,626,29,1
948,432,864,2,28.8,2016.10,202,101,0
950,631,1388,1,27.0,2016.10,0,0,0
953,90,125,4,90.27,2016.10,553,138,0
957,500,1000,1,12.4,2016.10,0,0,0
963,524,1048,2,97.35,2016.10,36,18,0
969,449,898,2,218.5,2016.10,107,53,0
