user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,709,1559,3,90.0,2016.12,10,3,0
15,232,417,3,66.2,2016.12,175,58,0
17,486,972,2,172.75,2016.12,27,13,0
20,109,174,2,40.54,2016.12,195,97,0
24,198,356,15,338.86,2016.12,524,34,0
30,598,1315,4,84.75,2016.12,87,21,0
34,10,10,24,1168.96,2016.12,668,27,1
37,476,952,1,19.5,2016.12,0,0,0
38,724,1592,1,38.5,2016.12,0,0,0
43,438,876,1,69.0,2016.12,0,0,0
45,642,1412,4,72.0,2016.12,69,17,0
46,409,818,6,188.6,2016.12,296,49,0
48,601,1322,2,103.2,2016.12,119,59,0
52,69,96,58,2580.07,2016.12,648,11,1
57,69,96,20,704.38,2016.12,656,32,0
58,425,850,13,424.75,2016.12,192,14,0
61,24,26,48,1366.48,2016.12,686,14,1
63,51,61,16,774.8,2016.12,650,40,0
65,311,559,1,32.43,2016.12,0,0,0
72,164,262,12,331.07000000000005,2016.12,484,40,0
73,168,268,1,57.6,2016.12,0,0,0
74,49,58,1,79.09,2016.12,0,0,0
75,26,28,35,1562.29,2016.12,572,16,1
76,518,1036,6,280.8,2016.12,205,34,0
79,590,1298,3,54.55,2016.12,34,11,0
87,661,1454,2,92.5,2016.12,41,20,0
88,669,1471,1,111.0,2016.12,0,0,0
91,115,184,15,411.22,2016.12,609,40,0
100,26,28,14,416.8,2016.12,531,37,0
101,555,1221,1,8.58,2016.12,0,0,0
102,131,209,1,17.5,2016.12,0,0,0
104,7,7,52,3323.17,2016.12,720,13,1
105,446,892,1,64.6,2016.12,0,0,0
106,17,18,65,2293.83,2016.12,699,10,1
117,499,998,1,109.88,2016.12,0,0,0
125,38,45,1,42.29,2016.12,0,0,0
129,9,9,23,703.95,2016.12,668,29,1
139,37,44,3,75.4,2016.12,279,93,0
141,3,3,14,358.59,2016.12,674,48,0
142,220,396,2,56.0,2016.12,219,109,0
143,16,17,92,1909.87,2016.12,711,7,1
146,545,1090,1,59.9,2016.12,0,0,0
155,340,612,2,26.65,2016.12,12,6,1
162,32,38,1,36.22,2016.12,0,0,0
164,210,378,8,256.0,2016.12,483,60,0
165,416,832,1,40.0,2016.12,0,0,0
166,590,1298,1,18.0,2016.12,0,0,0
170,12,12,118,3323.17,2016.12,712,6,1
177,34,40,37,1278.98,2016.12,665,17,1
178,4,4,58,895.1,2016.12,707,12,1
179,20,22,7,558.36,2016.12,699,99,0
180,10,10,19,574.35,2016.12,694,36,0
181,574,1262,2,63.2,2016.12,133,66,0
182,79,110,16,443.42,2016.12,647,40,0
183,25,27,42,1032.88,2016.12,692,16,1
186,440,880,4,119.55,2016.12,25,6,0
193,54,64,2,42.8,2016.12,559,279,0
197,670,1474,2,16.5,2016.12,8,4,0
205,320,576,1,22.0,2016.12,0,0,0
210,49,58,18,1576.63,2016.12,668,37,0
216,343,617,1,22.0,2016.12,0,0,0
219,467,934,4,96.95,2016.12,164,41,0
222,637,1401,1,27.0,2016.12,0,0,0
223,282,507,17,357.62,2016.12,432,25,1
225,578,1271,2,50.0,2016.12,92,46,0
227,167,267,3,68.25,2016.12,461,153,0
228,68,95,1,20.8,2016.12,0,0,0
231,460,920,6,290.4,2016.12,43,7,0
235,383,766,1,36.0,2016.12,0,0,0
240,40,48,18,525.6,2016.12,676,37,0
247,718,1579,1,22.0,2016.12,0,0,0
257,569,1251,1,61.0,2016.12,0,0,0
259,33,39,1,36.15,2016.12,0,0,0
264,696,1531,2,40.5,2016.12,1,0,0
268,312,561,1,26.8,2016.12,0,0,0
276,18,19,4,135.66,2016.12,522,130,0
278,91,145,1,34.0,2016.12,0,0,0
279,74,103,1,26.1,2016.12,0,0,0
282,19,20,21,862.49,2016.12,706,33,0
292,30,33,1,19.73,2016.12,0,0,0
294,178,284,8,289.98,2016.12,351,43,0
300,64,89,13,404.23,2016.12,519,39,0
302,192,345,10,449.59,2016.12,532,53,0
303,86,120,9,47.84,2016.12,387,43,0
310,713,1568,1,11.5,2016.12,0,0,0
316,23,25,19,673.06,2016.12,683,35,0
321,5,5,38,759.62,2016.12,714,18,1
327,564,1240,1,16.0,2016.12,0,0,0
329,307,552,53,862.25,2016.12,406,7,1
330,9,9,32,775.46,2016.12,654,20,1
332,221,397,1,34.79,2016.12,0,0,0
337,228,410,1,16.5,2016.12,0,0,0
342,470,940,8,146.05,2016.12,235,29,0
343,584,1284,1,25.8,2016.12,0,0,0
346,166,265,8,135.3,2016.12,448,56,0
347,375,750,3,149.6,2016.12,344,114,0
349,177,283,8,138.72,2016.12,470,58,0
352,43,51,7,315.75,2016.12,621,88,0
354,75,105,2,0.0,2016.12,25,12,1
367,41,49,28,1003.69,2016.12,623,22,1
368,2,2,32,842.5,2016.12,682,21,1
377,621,1366,1,63.53,2016.12,0,0,0
380,117,187,15,898.14,2016.12,606,40,0
387,18,19,5,333.67,2016.12,168,33,0
398,646,1421,8,181.79,2016.12,76,9,0
403,538,1076,5,72.0,2016.12,184,36,0
404,626,1377,1,25.8,2016.12,0,0,0
415,526,1052,4,177.4,2016.12,179,44,0
426,75,105,40,1705.46,2016.12,624,15,1
427,485,970,8,100.62,2016.12,230,28,0
437,3,3,2,52.85,2016.12,181,90,0
439,381,762,7,110.92,2016.12,300,42,0
440,456,912,2,51.6,2016.12,55,27,0
441,391,782,2,131.75,2016.12,223,111,0
451,49,58,19,539.5,2016.12,679,35,0
458,643,1414,3,98.75,2016.12,74,24,0
462,20,22,3,70.09,2016.12,96,32,0
466,79,110,1,41.8,2016.12,0,0,0
468,527,1054,18,485.25,2016.12,186,10,0
472,44,52,20,649.5,2016.12,631,31,0
475,313,563,17,690.04,2016.12,399,23,1
479,342,615,1,17.0,2016.12,0,0,0
480,50,60,1,31.3,2016.12,0,0,0
481,96,153,6,181.65,2016.12,534,89,0
489,12,12,4,121.59,2016.12,662,165,0
492,1,1,22,1186.38,2016.12,716,32,0
495,616,1355,2,107.3,2016.12,111,55,0
501,101,161,7,447.7,2016.12,597,85,0
512,691,1520,1,25.5,2016.12,0,0,0
516,32,38,7,321.97,2016.12,462,66,0
517,19,20,3,124.8,2016.12,446,148,0
521,653,1436,1,28.9,2016.12,0,0,0
522,76,106,5,215.51,2016.12,160,32,0
527,698,1535,1,18.0,2016.12,0,0,0
530,446,892,2,56.85,2016.12,207,103,0
532,11,11,38,2015.46,2016.12,704,18,1
541,76,106,24,516.35,2016.12,650,27,1
542,523,1046,29,461.74,2016.12,201,6,0
543,534,1068,2,65.4,2016.12,182,91,0
