user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,435,870,3,90.0,2016.03,10,3,0
15,133,212,1,25.8,2016.03,0,0,0
17,212,381,2,172.75,2016.03,27,13,1
20,30,33,1,15.9,2016.03,0,0,0
24,28,30,12,257.24,2016.03,420,35,0
30,324,583,4,84.75,2016.03,87,21,1
34,25,27,14,786.45,2016.03,379,27,1
37,202,363,1,19.5,2016.03,0,0,0
38,450,900,1,38.5,2016.03,0,0,0
43,164,262,1,69.0,2016.03,0,0,0
45,368,736,4,72.0,2016.03,69,17,0
46,135,216,6,188.6,2016.03,296,49,0
48,327,588,2,103.2,2016.03,119,59,0
52,4,4,40,1683.26,2016.03,439,10,1
57,18,19,12,460.42,2016.03,433,36,0
58,151,241,13,424.75,2016.03,192,14,1
61,7,7,27,744.45,2016.03,429,15,1
63,29,31,11,445.89,2016.03,398,36,0
65,37,44,1,32.43,2016.03,0,0,0
72,1,1,11,276.78000000000003,2016.03,373,33,0
75,32,38,24,1104.65,2016.03,292,12,1
76,244,439,6,280.8,2016.03,205,34,0
79,316,568,3,54.55,2016.03,34,11,1
87,387,774,2,92.5,2016.03,41,20,0
88,395,790,1,111.0,2016.03,0,0,0
91,53,63,10,299.13,2016.03,397,39,0
100,59,70,6,224.4,2016.03,224,37,0
101,281,505,1,8.58,2016.03,0,0,0
104,7,7,35,2780.32,2016.03,446,12,1
105,172,275,1,64.6,2016.03,0,0,0
106,8,8,42,1446.38,2016.03,434,10,1
117,225,405,1,109.88,2016.03,0,0,0
129,66,92,15,364.0,2016.03,337,22,1
139,42,50,1,26.8,2016.03,0,0,0
141,23,25,7,153.35000000000002,2016.03,380,54,0
142,165,264,1,2.0,2016.03,0,0,0
143,1,1,67,993.85,2016.03,452,6,1
146,271,487,1,59.9,2016.03,0,0,0
155,66,92,2,26.65,2016.03,12,6,1
164,26,28,5,160.0,2016.03,393,78,0
165,142,227,1,40.0,2016.03,0,0,0
166,316,568,1,18.0,2016.03,0,0,0
170,7,7,91,3373.0,2016.03,443,4,1
177,9,9,24,795.76,2016.03,416,17,1
178,19,20,43,342.55,2016.03,418,9,1
179,66,92,5,409.32,2016.03,379,75,0
180,15,15,13,327.97,2016.03,415,31,0
181,300,540,2,63.2,2016.03,133,66,0
182,106,169,11,292.55,2016.03,346,31,0
183,8,8,31,675.89,2016.03,435,14,1
186,166,265,4,119.55,2016.03,25,6,1
193,339,610,1,18.9,2016.03,0,0,0
197,396,792,2,16.5,2016.03,8,4,0
205,46,55,1,22.0,2016.03,0,0,0
210,18,19,11,992.25,2016.03,425,38,0
216,69,96,1,22.0,2016.03,0,0,0
219,193,347,4,96.95,2016.03,164,41,0
222,363,653,1,27.0,2016.03,0,0,0
223,8,8,17,357.62,2016.03,432,25,1
225,304,547,2,50.0,2016.03,92,46,0
227,4,4,2,36.0,2016.03,350,175,0
231,186,334,6,290.4,2016.03,43,7,1
235,109,174,1,36.0,2016.03,0,0,0
240,15,15,12,327.68,2016.03,427,35,0
247,444,888,1,22.0,2016.03,0,0,0
257,295,531,1,61.0,2016.03,0,0,0
264,422,844,2,40.5,2016.03,1,0,0
268,38,45,1,26.8,2016.03,0,0,0
276,266,478,1,25.8,2016.03,0,0,0
282,38,45,14,589.88,2016.03,413,29,1
294,3,3,6,165.49,2016.03,252,42,0
300,33,39,7,169.17000000000002,2016.03,276,39,0
302,172,275,7,286.2,2016.03,278,39,0
303,154,246,8,10.56,2016.03,45,5,1
310,439,878,1,11.5,2016.03,0,0,0
316,40,48,14,502.7,2016.03,392,28,1
321,11,11,31,608.74,2016.03,434,14,1
327,290,522,1,16.0,2016.03,0,0,0
329,33,39,53,862.25,2016.03,406,7,1
330,1,1,16,369.44,2016.03,388,24,1
342,196,352,8,146.05,2016.03,235,29,1
343,310,558,1,25.8,2016.03,0,0,0
346,13,13,7,104.91,2016.03,327,46,0
347,101,161,3,149.6,2016.03,344,114,0
349,164,262,6,95.0,2016.03,209,34,0
352,175,280,6,288.4,2016.03,215,35,0
367,12,12,18,587.74,2016.03,378,21,1
368,36,43,17,374.0,2016.03,374,22,1
377,347,624,1,63.53,2016.03,0,0,0
380,119,190,13,843.2,2016.03,330,25,1
398,372,744,8,181.79,2016.03,76,9,0
403,264,475,5,72.0,2016.03,184,36,0
404,352,633,1,25.8,2016.03,0,0,0
415,252,453,4,177.4,2016.03,179,44,0
426,10,10,31,1228.86,2016.03,415,13,1
427,211,379,8,100.62,2016.03,230,28,1
439,107,171,7,110.92,2016.03,300,42,0
440,182,327,2,51.6,2016.03,55,27,1
441,117,187,2,131.75,2016.03,223,111,0
451,18,19,12,368.98,2016.03,436,36,0
458,369,738,3,98.75,2016.03,74,24,0
468,253,455,18,485.25,2016.03,186,10,1
472,3,3,13,425.5,2016.03,398,30,0
475,39,46,17,690.04,2016.03,399,23,1
479,68,95,1,17.0,2016.03,0,0,0
481,123,196,5,150.65,2016.03,233,46,0
489,319,574,3,85.8,2016.03,81,27,1
492,45,54,13,647.3100000000001,2016.03,398,30,0
495,342,615,2,107.3,2016.03,111,55,0
501,30,33,6,394.9,2016.03,394,65,0
512,417,834,1,25.5,2016.03,0,0,0
516,30,33,3,105.87,2016.03,190,63,0
517,191,343,1,37.4,2016.03,0,0,0
521,379,758,1,28.9,2016.03,0,0,0
527,424,848,1,18.0,2016.03,0,0,0
530,172,275,2,56.85,2016.03,207,103,0
532,14,14,23,1276.33,2016.03,427,18,1
541,66,92,19,336.2,2016.03,386,20,1
542,249,448,29,461.74,2016.03,201,6,1
543,260,468,2,65.4,2016.03,182,91,0
549,113,180,8,169.8,2016.03,236,29,1
555,370,740,1,19.5,2016.03,0,0,0
557,7,7,19,755.26,2016.03,415,21,1
558,100,160,4,86.3,2016.03,79,19,1
560,410,820,1,14.5,2016.03,0,0,0
563,205,369,5,160.6,2016.03,138,27,1
565,8,8,43,2154.31,2016.03,424,9,1
566,17,18,12,833.51,2016.03,413,34,0
567,9,9,33,934.27,2016.03,442,13,1
568,130,208,1,12.9,2016.03,0,0,0
569,17,18,13,451.35,2016.03,397,30,0
573,243,437,18,337.25,2016.03,170,9,1
574,179,286,6,470.85,2016.03,237,39,0
577,35,42,17,788.64,2016.03,392,23,1
579,272,489,1,19.4,2016.03,0,0,0
592,2,2,9,79.6,2016.03,376,41,0
594,133,212,16,497.2,2016.03,315,19,1
598,8,8,113,2554.9,2016.03,440,3,1
615,276,496,2,25.8,2016.03,37,18,1
619,317,570,14,156.9,2016.03,124,8,1
622,421,842,1,31.0,2016.03,0,0,0
633,168,268,20,273.06,2016.03,284,14,1
636,282,507,1,25.8,2016.03,0,0,0
640,92,147,1,22.0,2016.03,0,0,0
648,165,264,3,53.1,2016.03,211,70,0
649,13,13,6,116.5,2016.03,390,65,0
653,1,1,21,471.59,2016.03,380,18,1
656,174,278,18,289.55,2016.03,267,14,1
657,204,367,1,11.61,2016.03,0,0,0
660,106,169,5,96.0,2016.03,314,62,0
662,33,39,17,389.15,2016.03,384,22,1
665,10,10,19,473.14,2016.03,428,22,1
666,318,572,1,14.0,2016.03,0,0,0
668,190,342,3,74.25,2016.03,86,28,1
674,69,96,1,16.0,2016.03,0,0,0
684,400,800,1,19.0,2016.03,0,0,0
691,266,478,5,66.0,2016.03,90,18,1
694,242,435,1,32.0,2016.03,0,0,0
708,9,9,88,2854.59,2016.03,441,5,1
710,60,72,2,42.9,2016.03,321,160,0
713,224,403,11,418.3,2016.03,193,17,1
718,7,7,22,672.8,2016.03,433,19,1
728,12,12,3,87.0,2016.03,33,11,1
734,66,92,9,141.4,2016.03,369,41,0
736,365,657,1,13.0,2016.03,0,0,0
741,53,63,1,0.0,2016.03,0,0,0
744,357,642,3,81.25,2016.03,92,30,0
746,253,455,3,90.4,2016.03,72,24,1
754,8,8,44,1323.87,2016.03,443,10,1
768,103,164,4,210.8,2016.03,341,85,0
770,328,590,8,183.45,2016.03,93,11,1
771,26,28,6,295.79,2016.03,424,70,0
772,87,121,9,242.4,2016.03,353,39,0
774,21,23,5,121.88,2016.03,124,24,1
775,203,365,1,24.9,2016.03,0,0,0
777,177,283,13,242.4,2016.03,245,18,1
784,30,33,11,332.65,2016.03,396,36,0
785,135,216,3,53.4,2016.03,255,85,0
786,21,23,11,319.98,2016.03,424,38,0
789,213,383,1,37.62,2016.03,0,0,0
790,88,123,2,97.4,2016.03,265,132,0
792,130,208,36,286.25,2016.03,312,8,1
798,29,31,5,159.76,2016.03,101,20,1
800,54,64,9,375.29,2016.03,384,42,0
803,197,354,1,18.9,2016.03,0,0,0
806,193,347,6,217.65,2016.03,250,41,0
807,56,67,36,776.8,2016.03,396,11,1
808,60,72,12,343.33,2016.03,386,32,0
811,159,254,3,66.85,2016.03,44,14,1
812,26,28,4,91.3,2016.03,339,84,0
816,419,838,1,15.0,2016.03,0,0,0
820,198,356,1,43.8,2016.03,0,0,0
822,207,372,1,64.1,2016.03,0,0,0
826,3,3,25,622.9399999999999,2016.03,438,17,1
828,50,60,6,173.1,2016.03,342,57,0
830,55,66,11,199.2,2016.03,299,27,1
831,169,270,3,174.6,2016.03,157,52,0
835,4,4,11,271.29,2016.03,264,24,1
841,109,174,7,119.6,2016.03,231,33,0
844,53,63,5,99.18,2016.03,329,65,0
849,421,842,5,104.25,2016.03,31,6,0
856,378,756,5,198.8,2016.03,57,11,0
857,47,56,2,62.0,2016.03,174,87,0
858,277,498,2,44.15,2016.03,146,73,0
866,59,70,2,47.14,2016.03,334,167,0
868,42,50,5,115.7,2016.03,382,76,0
871,240,432,3,80.0,2016.03,71,23,1
875,193,347,4,126.25,2016.03,258,64,0
876,245,441,3,70.5,2016.03,153,51,0
877,101,161,3,56.65,2016.03,169,56,0
882,8,8,2,80.07,2016.03,271,135,0
886,346,622,2,28.8,2016.03,75,37,0
905,6,6,1,21.29,2016.03,0,0,0
913,368,736,1,18.4,2016.03,0,0,0
918,129,206,2,51.7,2016.03,104,52,0
919,39,46,7,200.09,2016.03,334,47,0
921,289,520,1,25.8,2016.03,0,0,0
926,22,24,33,1264.55,2016.03,428,12,1
928,22,24,26,920.91,2016.03,433,16,1
940,7,7,32,983.2,2016.03,383,11,1
942,17,18,1,28.9,2016.03,0,0,0
944,275,495,5,1.3,2016.03,176,35,0
945,2,2,11,268.65,2016.03,424,38,0
948,218,392,2,28.8,2016.03,202,101,0
950,417,834,1,27.0,2016.03,0,0,0
953,184,331,2,42.0,2016.03,245,122,0
957,286,514,1,12.4,2016.03,0,0,0
963,310,558,2,97.35,2016.03,36,18,1
969,235,423,2,218.5,2016.03,107,53,0
971,96,153,11,864.7,2016.03,344,31,0
973,110,176,12,177.2,2016.03,324,27,1
974,10,10,2,67.0,2016.03,21,10,1
977,256,460,3,139.32,2016.03,165,55,0
978,32,38,15,985.27,2016.03,415,27,1
981,429,858,1,40.0,2016.03,0,0,0
983,4,4,56,1042.21,2016.03,442,7,1
987,36,43,1,75.5,2016.03,0,0,0
991,256,460,1,13.9,2016.03,0,0,0
994,290,522,1,40.0,2016.03,0,0,0
996,193,347,3,291.29999999999995,2016.03,239,79,0
998,410,820,3,45.0,2016.03,39,13,0
1000,3,3,20,366.1,2016.03,431,21,1
1002,12,12,14,463.6,2016.03,365,26,1
1003,246,442,1,84.5,2016.03,0,0,0
1007,322,579,4,83.25,2016.03,119,29,1
1009,445,890,1,20.0,2016.03,0,0,0
1012,302,543,1,11.5,2016.03,0,0,0
1014,64,89,9,231.7,2016.03,346,38,0
1026,190,342,3,57.8,2016.03,245,81,0
1028,329,592,1,25.8,2016.03,0,0,0
1032,52,62,35,520.45,2016.03,385,11,1
1038,108,172,5,84.0,2016.03,141,28,1
1039,82,114,10,263.25,2016.03,340,34,0
1040,64,89,6,250.29,2016.03,305,50,0
1041,410,820,1,13.05,2016.03,0,0,0
1048,288,518,1,38.0,2016.03,0,0,0
1050,311,559,2,22.5,2016.03,69,34,0
1053,89,124,1,28.9,2016.03,0,0,0
1056,221,397,1,45.0,2016.03,0,0,0
1057,128,204,2,48.3,2016.03,70,35,0
1061,291,523,4,70.5,2016.03,51,12,1
1064,37,44,3,62.38,2016.03,273,91,0
1066,268,482,9,277.05,2016.03,150,16,1
1068,240,432,1,27.8,2016.03,0,0,0
1069,56,67,15,240.8,2016.03,219,14,1
1071,40,48,43,859.15,2016.03,412,9,1
1074,226,406,3,33.75,2016.03,14,4,1
1078,145,232,8,150.5,2016.03,198,24,1
1083,17,18,4,113.3,2016.03,262,65,0
1085,32,38,10,518.5,2016.03,420,42,0
1086,303,545,9,272.0,2016.03,138,15,1
1088,283,509,2,64.5,2016.03,83,41,0
