user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,618,1359,3,90.0,2016.09,10,3,0
15,141,225,3,66.2,2016.09,175,58,0
17,395,790,2,172.75,2016.09,27,13,0
20,18,19,2,40.54,2016.09,195,97,0
24,107,171,15,338.86,2016.09,524,34,0
30,507,1014,4,84.75,2016.09,87,21,0
34,40,48,20,1039.78,2016.09,547,27,1
37,385,770,1,19.5,2016.09,0,0,0
38,633,1392,1,38.5,2016.09,0,0,0
43,347,624,1,69.0,2016.09,0,0,0
45,551,1212,4,72.0,2016.09,69,17,0
46,318,572,6,188.6,2016.09,296,49,0
48,510,1020,2,103.2,2016.09,119,59,0
52,3,3,55,2437.07,2016.09,623,11,1
57,37,44,19,688.88,2016.09,597,31,0
58,334,601,13,424.75,2016.09,192,14,1
61,2,2,43,1199.62,2016.09,617,14,1
63,2,2,15,703.2,2016.09,608,40,0
65,220,396,1,32.43,2016.09,0,0,0
72,73,102,12,331.07000000000005,2016.09,484,40,0
73,77,107,1,57.6,2016.09,0,0,0
75,12,12,30,1380.59,2016.09,495,16,1
76,427,854,6,280.8,2016.09,205,34,0
79,499,998,3,54.55,2016.09,34,11,0
87,570,1254,2,92.5,2016.09,41,20,0
88,578,1271,1,111.0,2016.09,0,0,0
91,24,26,15,411.22,2016.09,609,40,0
100,2,2,13,400.82,2016.09,464,35,0
101,464,928,1,8.58,2016.09,0,0,0
102,40,48,1,17.5,2016.09,0,0,0
104,7,7,47,2988.69,2016.09,629,13,1
105,355,639,1,64.6,2016.09,0,0,0
106,4,4,58,2037.98,2016.09,621,10,1
117,408,816,1,109.88,2016.09,0,0,0
129,88,123,20,580.29,2016.09,498,24,1
139,13,13,2,53.6,2016.09,212,106,0
141,81,113,12,299.65,2016.09,505,42,0
142,129,206,2,56.0,2016.09,219,109,0
143,8,8,85,1638.43,2016.09,628,7,1
146,454,908,1,59.9,2016.09,0,0,0
155,249,448,2,26.65,2016.09,12,6,1
164,119,190,8,256.0,2016.09,483,60,0
165,325,585,1,40.0,2016.09,0,0,0
166,499,998,1,18.0,2016.09,0,0,0
170,7,7,113,2988.69,2016.09,626,5,1
177,7,7,35,1215.16,2016.09,601,17,1
178,12,12,52,640.13,2016.09,608,11,1
179,144,230,6,469.25,2016.09,484,80,0
180,4,4,17,494.77,2016.09,609,35,0
181,483,966,2,63.2,2016.09,133,66,0
182,66,92,15,417.77,2016.09,569,37,0
183,10,10,38,917.33,2016.09,616,16,1
186,349,628,4,119.55,2016.09,25,6,1
193,522,1044,1,18.9,2016.09,0,0,0
197,579,1273,2,16.5,2016.09,8,4,0
205,229,412,1,22.0,2016.09,0,0,0
210,17,18,16,1411.5,2016.09,609,38,0
216,252,453,1,22.0,2016.09,0,0,0
219,376,752,4,96.95,2016.09,164,41,0
222,546,1201,1,27.0,2016.09,0,0,0
223,191,343,17,357.62,2016.09,432,25,1
225,487,974,2,50.0,2016.09,92,46,0
227,76,106,3,68.25,2016.09,461,153,0
231,369,738,6,290.4,2016.09,43,7,0
235,292,525,1,36.0,2016.09,0,0,0
240,5,5,17,493.13,2016.09,620,36,0
247,627,1379,1,22.0,2016.09,0,0,0
257,478,956,1,61.0,2016.09,0,0,0
264,605,1331,2,40.5,2016.09,1,0,0
268,221,397,1,26.8,2016.09,0,0,0
276,89,124,3,101.76,2016.09,360,120,0
282,2,2,19,791.65,2016.09,632,33,0
294,87,121,8,289.98,2016.09,351,43,0
300,32,38,12,372.93,2016.09,460,38,0
302,101,161,10,449.59,2016.09,532,53,0
303,337,606,8,10.56,2016.09,45,5,1
310,622,1368,1,11.5,2016.09,0,0,0
316,88,123,16,568.8,2016.09,527,32,0
321,88,123,34,686.37,2016.09,540,15,1
327,473,946,1,16.0,2016.09,0,0,0
329,216,388,53,862.25,2016.09,406,7,1
330,12,12,27,632.0,2016.09,560,20,1
332,130,208,1,34.79,2016.09,0,0,0
337,137,219,1,16.5,2016.09,0,0,0
342,379,758,8,146.05,2016.09,235,29,0
343,493,986,1,25.8,2016.09,0,0,0
346,75,105,8,135.3,2016.09,448,56,0
347,284,511,3,149.6,2016.09,344,114,0
349,86,120,8,138.72,2016.09,470,58,0
352,358,644,6,288.4,2016.09,215,35,0
354,9,9,1,0.0,2016.09,0,0,0
367,76,106,23,812.84,2016.09,497,21,1
368,24,26,27,680.0,2016.09,569,21,1
377,530,1060,1,63.53,2016.09,0,0,0
380,26,28,15,898.14,2016.09,606,40,0
387,33,39,3,206.9,2016.09,62,20,1
398,555,1221,8,181.79,2016.09,76,9,0
403,447,894,5,72.0,2016.09,184,36,0
404,535,1070,1,25.8,2016.09,0,0,0
415,435,870,4,177.4,2016.09,179,44,0
426,19,20,39,1633.56,2016.09,589,15,1
427,394,788,8,100.62,2016.09,230,28,0
437,93,148,1,26.98,2016.09,0,0,0
439,290,522,7,110.92,2016.09,300,42,0
440,365,657,2,51.6,2016.09,55,27,1
441,300,540,2,131.75,2016.09,223,111,0
451,13,13,17,506.52,2016.09,624,36,0
458,552,1214,3,98.75,2016.09,74,24,0
462,25,27,1,15.9,2016.09,0,0,0
468,436,872,18,485.25,2016.09,186,10,0
472,11,11,19,619.5,2016.09,573,30,0
475,222,399,17,690.04,2016.09,399,23,1
479,251,451,1,17.0,2016.09,0,0,0
481,5,5,6,181.65,2016.09,534,89,0
489,502,1004,3,85.8,2016.09,81,27,0
492,2,2,19,1030.63,2016.09,624,32,0
495,525,1050,2,107.3,2016.09,111,55,0
501,10,10,7,447.7,2016.09,597,85,0
512,600,1320,1,25.5,2016.09,0,0,0
516,116,185,4,134.67000000000002,2016.09,287,71,0
517,12,12,2,89.0,2016.09,362,181,0
521,562,1236,1,28.9,2016.09,0,0,0
522,26,28,4,160.74,2016.09,119,29,1
527,607,1335,1,18.0,2016.09,0,0,0
530,355,639,2,56.85,2016.09,207,103,0
532,8,8,33,1803.32,2016.09,616,18,1
541,60,72,23,479.65,2016.09,575,25,1
542,432,864,29,461.74,2016.09,201,6,0
543,443,886,2,65.4,2016.09,182,91,0
549,296,532,8,169.8,2016.09,236,29,1
555,553,1216,1,19.5,2016.09,0,0,0
557,93,148,24,996.65,2016.09,512,21,1
558,108,172,5,112.19,2016.09,254,50,0
560,593,1304,1,14.5,2016.09,0,0,0
563,73,102,7,271.75,2016.09,453,64,0
565,20,22,57,2822.21,2016.09,595,10,1
566,200,360,12,833.51,2016.09,413,34,0
567,4,4,44,1276.46,2016.09,630,14,1
568,313,563,1,12.9,2016.09,0,0,0
569,165,264,14,501.54,2016.09,432,30,0
573,426,852,18,337.25,2016.09,170,9,0
574,15,15,7,506.55,2016.09,584,83,0
577,218,392,17,788.64,2016.09,392,23,1
579,455,910,1,19.4,2016.09,0,0,0
592,15,15,11,146.76,2016.09,546,49,0
594,36,43,18,616.03,2016.09,595,33,0
598,4,4,129,2789.28,2016.09,627,4,1
600,80,112,2,192.35,2016.09,46,23,1
615,459,918,2,25.8,2016.09,37,18,0
619,157,251,15,202.65,2016.09,467,31,0
622,604,1328,1,31.0,2016.09,0,0,0
633,53,63,21,305.76,2016.09,582,27,1
636,465,930,1,25.8,2016.09,0,0,0
640,275,495,1,22.0,2016.09,0,0,0
648,348,626,3,53.1,2016.09,211,70,0
649,102,163,7,156.25,2016.09,484,69,0
653,5,5,28,704.98,2016.09,559,19,1
656,357,642,18,289.55,2016.09,267,14,1
657,126,201,2,32.61,2016.09,261,130,0
660,130,208,6,116.0,2016.09,473,78,0
662,126,201,21,531.65,2016.09,474,22,1
665,10,10,29,833.37,2016.09,611,21,1
666,501,1002,1,14.0,2016.09,0,0,0
668,103,164,5,123.49,2016.09,356,71,0
674,252,453,1,16.0,2016.09,0,0,0
684,583,1282,1,19.0,2016.09,0,0,0
691,449,898,5,66.0,2016.09,90,18,0
694,425,850,1,32.0,2016.09,0,0,0
