user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,679,1493,3,90.0,2016.11,10,3,0
15,202,363,3,66.2,2016.11,175,58,0
17,456,912,2,172.75,2016.11,27,13,0
20,79,110,2,40.54,2016.11,195,97,0
24,168,268,15,338.86,2016.11,524,34,0
30,568,1249,4,84.75,2016.11,87,21,0
34,9,9,23,1124.13,2016.11,639,27,1
37,446,892,1,19.5,2016.11,0,0,0
38,694,1526,1,38.5,2016.11,0,0,0
43,408,816,1,69.0,2016.11,0,0,0
45,612,1346,4,72.0,2016.11,69,17,0
46,379,758,6,188.6,2016.11,296,49,0
48,571,1256,2,103.2,2016.11,119,59,0
52,39,46,58,2580.07,2016.11,648,11,1
57,39,46,20,704.38,2016.11,656,32,0
58,395,790,13,424.75,2016.11,192,14,0
61,23,25,47,1336.48,2016.11,657,13,1
63,21,23,16,774.8,2016.11,650,40,0
65,281,505,1,32.43,2016.11,0,0,0
72,134,214,12,331.07000000000005,2016.11,484,40,0
73,138,220,1,57.6,2016.11,0,0,0
74,19,20,1,79.09,2016.11,0,0,0
75,1,1,34,1530.29,2016.11,567,16,1
76,488,976,6,280.8,2016.11,205,34,0
79,560,1232,3,54.55,2016.11,34,11,0
87,631,1388,2,92.5,2016.11,41,20,0
88,639,1405,1,111.0,2016.11,0,0,0
91,85,118,15,411.22,2016.11,609,40,0
100,63,88,13,400.82,2016.11,464,35,0
101,525,1050,1,8.58,2016.11,0,0,0
102,101,161,1,17.5,2016.11,0,0,0
104,12,12,50,3323.17,2016.11,685,13,1
105,416,832,1,64.6,2016.11,0,0,0
106,9,9,63,2227.18,2016.11,677,10,1
117,469,938,1,109.88,2016.11,0,0,0
125,8,8,1,42.29,2016.11,0,0,0
129,25,27,22,642.46,2016.11,622,28,1
139,7,7,3,75.4,2016.11,279,93,0
141,40,48,13,334.94,2016.11,607,46,0
142,190,342,2,56.0,2016.11,219,109,0
143,6,6,90,1828.33,2016.11,691,7,1
146,515,1030,1,59.9,2016.11,0,0,0
155,310,558,2,26.65,2016.11,12,6,1
162,2,2,1,36.22,2016.11,0,0,0
164,180,288,8,256.0,2016.11,483,60,0
165,386,772,1,40.0,2016.11,0,0,0
166,560,1232,1,18.0,2016.11,0,0,0
170,14,14,117,3323.17,2016.11,680,5,1
177,4,4,37,1278.98,2016.11,665,17,1
178,10,10,56,824.16,2016.11,671,11,1
179,205,369,6,469.25,2016.11,484,80,0
180,44,52,18,537.93,2016.11,630,35,0
181,544,1088,2,63.2,2016.11,133,66,0
182,49,58,16,443.42,2016.11,647,40,0
183,14,14,41,1004.08,2016.11,673,16,1
186,410,820,4,119.55,2016.11,25,6,0
193,24,26,2,42.8,2016.11,559,279,0
197,640,1408,2,16.5,2016.11,8,4,0
205,290,522,1,22.0,2016.11,0,0,0
210,19,20,18,1576.63,2016.11,668,37,0
216,313,563,1,22.0,2016.11,0,0,0
219,437,874,4,96.95,2016.11,164,41,0
222,607,1335,1,27.0,2016.11,0,0,0
223,252,453,17,357.62,2016.11,432,25,1
225,548,1205,2,50.0,2016.11,92,46,0
227,137,219,3,68.25,2016.11,461,153,0
228,38,45,1,20.8,2016.11,0,0,0
231,430,860,6,290.4,2016.11,43,7,0
235,353,635,1,36.0,2016.11,0,0,0
240,10,10,18,525.6,2016.11,676,37,0
247,688,1513,1,22.0,2016.11,0,0,0
257,539,1078,1,61.0,2016.11,0,0,0
259,3,3,1,36.15,2016.11,0,0,0
264,666,1465,2,40.5,2016.11,1,0,0
268,282,507,1,26.8,2016.11,0,0,0
276,150,240,3,101.76,2016.11,360,120,0
278,61,85,1,34.0,2016.11,0,0,0
279,44,52,1,26.1,2016.11,0,0,0
282,52,62,20,841.52,2016.11,643,32,0
294,148,236,8,289.98,2016.11,351,43,0
300,34,40,13,404.23,2016.11,519,39,0
302,162,259,10,449.59,2016.11,532,53,0
303,56,67,9,47.84,2016.11,387,43,0
310,683,1502,1,11.5,2016.11,0,0,0
316,13,13,18,638.41,2016.11,663,36,0
321,6,6,36,724.62,2016.11,683,18,1
327,534,1068,1,16.0,2016.11,0,0,0
329,277,498,53,862.25,2016.11,406,7,1
330,7,7,31,748.5,2016.11,626,20,1
332,191,343,1,34.79,2016.11,0,0,0
337,198,356,1,16.5,2016.11,0,0,0
342,440,880,8,146.05,2016.11,235,29,0
343,554,1218,1,25.8,2016.11,0,0,0
346,136,217,8,135.3,2016.11,448,56,0
347,345,621,3,149.6,2016.11,344,114,0
349,147,235,8,138.72,2016.11,470,58,0
352,13,13,7,315.75,2016.11,621,88,0
354,45,54,2,0.0,2016.11,25,12,1
367,11,11,28,1003.69,2016.11,623,22,1
368,9,9,29,730.0,2016.11,645,22,1
377,591,1300,1,63.53,2016.11,0,0,0
380,87,121,15,898.14,2016.11,606,40,0
387,41,49,4,279.49,2016.11,115,28,1
398,616,1355,8,181.79,2016.11,76,9,0
403,508,1016,5,72.0,2016.11,184,36,0
404,596,1311,1,25.8,2016.11,0,0,0
415,496,992,4,177.4,2016.11,179,44,0
426,45,54,40,1705.46,2016.11,624,15,1
427,455,910,8,100.62,2016.11,230,28,0
437,154,246,1,26.98,2016.11,0,0,0
439,351,631,7,110.92,2016.11,300,42,0
440,426,852,2,51.6,2016.11,55,27,0
441,361,649,2,131.75,2016.11,223,111,0
451,19,20,19,539.5,2016.11,679,35,0
458,613,1348,3,98.75,2016.11,74,24,0
462,6,6,2,34.8,2016.11,80,40,0
466,49,58,1,41.8,2016.11,0,0,0
468,497,994,18,485.25,2016.11,186,10,0
472,14,14,20,649.5,2016.11,631,31,0
475,283,509,17,690.04,2016.11,399,23,1
479,312,561,1,17.0,2016.11,0,0,0
480,20,22,1,31.3,2016.11,0,0,0
481,66,92,6,181.65,2016.11,534,89,0
489,563,1238,3,85.8,2016.11,81,27,0
492,18,19,20,1088.45,2016.11,669,33,0
495,586,1289,2,107.3,2016.11,111,55,0
501,71,99,7,447.7,2016.11,597,85,0
512,661,1454,1,25.5,2016.11,0,0,0
516,2,2,7,321.97,2016.11,462,66,0
517,73,102,2,89.0,2016.11,362,181,0
521,623,1370,1,28.9,2016.11,0,0,0
522,46,55,5,215.51,2016.11,160,32,0
527,668,1469,1,18.0,2016.11,0,0,0
530,416,832,2,56.85,2016.11,207,103,0
532,1,1,37,1975.96,2016.11,684,18,1
541,46,55,24,516.35,2016.11,650,27,1
542,493,986,29,461.74,2016.11,201,6,0
543,504,1008,2,65.4,2016.11,182,91,0
549,357,642,8,169.8,2016.11,236,29,1
555,614,1350,1,19.5,2016.11,0,0,0
557,154,246,24,996.65,2016.11,512,21,1
558,169,270,5,112.19,2016.11,254,50,0
560,654,1438,1,14.5,2016.11,0,0,0
563,52,62,8,315.54,2016.11,535,66,0
565,81,113,57,2822.21,2016.11,595,10,1
566,261,469,12,833.51,2016.11,413,34,0
567,6,6,47,1344.06,2016.11,689,14,1
568,374,748,1,12.9,2016.11,0,0,0
569,226,406,14,501.54,2016.11,432,30,0
573,487,974,18,337.25,2016.11,170,9,0
574,8,8,9,618.8199999999999,2016.11,652,72,0
577,279,502,17,788.64,2016.11,392,23,1
579,516,1032,1,19.4,2016.11,0,0,0
592,6,6,12,153.14999999999998,2016.11,616,51,0
594,22,24,19,664.29,2016.11,670,35,0
598,44,52,131,2872.92,2016.11,648,4,1
600,141,225,2,192.35,2016.11,46,23,1
615,520,1040,2,25.8,2016.11,37,18,0
619,218,392,15,202.65,2016.11,467,31,0
622,665,1463,1,31.0,2016.11,0,0,0
633,114,182,21,305.76,2016.11,582,27,1
636,526,1052,1,25.8,2016.11,0,0,0
640,336,604,1,22.0,2016.11,0,0,0
648,409,818,3,53.1,2016.11,211,70,0
649,11,11,8,174.25,2016.11,636,79,0
653,6,6,31,776.98,2016.11,619,19,1
656,418,836,18,289.55,2016.11,267,14,0
657,187,336,2,32.61,2016.11,261,130,0
660,51,61,8,161.8,2016.11,613,76,0
662,187,336,21,531.65,2016.11,474,22,1
665,28,30,30,865.37,2016.11,654,21,1
666,562,1236,1,14.0,2016.11,0,0,0
668,164,262,5,123.49,2016.11,356,71,0
674,313,563,1,16.0,2016.11,0,0,0
683,33,39,1,20.88,2016.11,0,0,0
684,644,1416,1,19.0,2016.11,0,0,0
691,510,1020,5,66.0,2016.11,90,18,0
694,486,972,1,32.0,2016.11,0,0,0
708,49,58,114,3323.17,2016.11,645,5,1
710,304,547,2,42.9,2016.11,321,160,0
713,101,161,13,550.52,2016.11,560,43,0
716,96,153,1,40.0,2016.11,0,0,0
718,5,5,29,851.15,2016.11,679,23,1
728,178,284,8,284.66,2016.11,111,13,1
732,29,31,1,25.78,2016.11,0,0,0
734,310,558,9,141.4,2016.11,369,41,0
736,609,1339,1,13.0,2016.11,0,0,0
741,297,534,1,0.0,2016.11,0,0,0
744,601,1322,3,81.25,2016.11,92,30,0
746,497,994,3,90.4,2016.11,72,24,0
754,5,5,70,2047.46,2016.11,690,9,1
768,347,624,4,210.8,2016.11,341,85,0
770,161,257,9,227.13,2016.11,504,56,0
771,95,152,8,418.8,2016.11,599,74,0
772,331,595,9,242.4,2016.11,353,39,0
774,4,4,11,307.03,2016.11,385,35,0
775,447,894,1,24.9,2016.11,0,0,0
777,421,842,13,242.4,2016.11,245,18,0
784,100,160,12,348.55,2016.11,570,47,0
785,164,262,4,92.4,2016.11,470,117,0
786,167,267,13,377.78,2016.11,522,40,0
789,457,914,1,37.62,2016.11,0,0,0
790,332,597,2,97.4,2016.11,265,132,0
792,374,748,36,286.25,2016.11,312,8,0
798,15,15,14,516.53,2016.11,359,25,1
800,158,252,13,480.48,2016.11,524,40,0
803,441,882,1,18.9,2016.11,0,0,0
806,437,874,6,217.65,2016.11,250,41,0
807,18,19,49,1176.86,2016.11,678,13,1
808,102,163,14,453.23,2016.11,588,42,0
810,156,249,2,33.0,2016.11,8,4,1
811,403,806,3,66.85,2016.11,44,14,0
812,41,49,8,195.23,2016.11,568,71,0
816,663,1458,1,15.0,2016.11,0,0,0
820,59,70,7,208.78,2016.11,383,54,0
822,451,902,1,64.1,2016.11,0,0,0
826,2,2,41,1026.76,2016.11,683,16,1
827,10,10,1,31.94,2016.11,0,0,0
