user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,679,3,90.0,2016.11,10,3,0
15,202,3,66.2,2016.11,175,58,0
17,456,2,172.75,2016.11,27,13,0
20,79,2,40.54,2016.11,195,97,0
24,168,15,338.86,2016.11,524,34,0
30,568,4,84.75,2016.11,87,21,0
34,9,23,1124.13,2016.11,639,27,1
37,446,1,19.5,2016.11,0,0,0
38,694,1,38.5,2016.11,0,0,0
43,408,1,69.0,2016.11,0,0,0
45,612,4,72.0,2016.11,69,17,0
46,379,6,188.6,2016.11,296,49,0
48,571,2,103.2,2016.11,119,59,0
52,39,58,2580.07,2016.11,648,11,1
57,39,20,704.38,2016.11,656,32,0
58,395,13,424.75,2016.11,192,14,0
61,23,47,1336.48,2016.11,657,13,1
63,21,16,774.8,2016.11,650,40,0
65,281,1,32.43,2016.11,0,0,0
72,134,12,331.07000000000005,2016.11,484,40,0
73,138,1,57.6,2016.11,0,0,0
74,19,1,79.09,2016.11,0,0,0
75,1,34,1530.29,2016.11,567,16,1
76,488,6,280.8,2016.11,205,34,0
79,560,3,54.55,2016.11,34,11,0
87,631,2,92.5,2016.11,41,20,0
88,639,1,111.0,2016.11,0,0,0
91,85,15,411.21999999999997,2016.11,609,40,0
100,63,13,400.82,2016.11,464,35,0
101,525,1,8.58,2016.11,0,0,0
102,101,1,17.5,2016.11,0,0,0
104,12,50,3323.17,2016.11,685,13,1
105,416,1,64.6,2016.11,0,0,0
106,9,63,2227.18,2016.11,677,10,1
117,469,1,109.88,2016.11,0,0,0
125,8,1,42.29,2016.11,0,0,0
129,25,22,642.46,2016.11,622,28,1
139,7,3,75.4,2016.11,279,93,0
141,40,13,334.94,2016.11,607,46,0
142,190,2,56.0,2016.11,219,109,0
143,6,90,1828.33,2016.11,691,7,1
146,515,1,59.9,2016.11,0,0,0
155,310,2,26.65,2016.11,12,6,1
162,2,1,36.22,2016.11,0,0,0
164,180,8,256.0,2016.11,483,60,0
165,386,1,40.0,2016.11,0,0,0
166,560,1,18.0,2016.11,0,0,0
170,14,117,3323.17,2016.11,680,5,1
177,4,37,1278.98,2016.11,665,17,1
178,10,56,824.16,2016.11,671,11,1
179,205,6,469.25,2016.11,484,80,0
180,44,18,537.93,2016.11,630,35,0
181,544,2,63.2,2016.11,133,66,0
182,49,16,443.42,2016.11,647,40,0
183,14,41,1004.0799999999999,2016.11,673,16,1
186,410,4,119.55,2016.11,25,6,0
193,24,2,42.8,2016.11,559,279,0
197,640,2,16.5,2016.11,8,4,0
205,290,1,22.0,2016.11,0,0,0
210,19,18,1576.63,2016.11,668,37,0
216,313,1,22.0,2016.11,0,0,0
219,437,4,96.95,2016.11,164,41,0
222,607,1,27.0,2016.11,0,0,0
223,252,17,357.62,2016.11,432,25,1
225,548,2,50.0,2016.11,92,46,0
227,137,3,68.25,2016.11,461,153,0
228,38,1,20.8,2016.11,0,0,0
231,430,6,290.4,2016.11,43,7,0
235,353,1,36.0,2016.11,0,0,0
240,10,18,525.6,2016.11,676,37,0
247,688,1,22.0,2016.11,0,0,0
257,539,1,61.0,2016.11,0,0,0
259,3,1,36.15,2016.11,0,0,0
264,666,2,40.5,2016.11,1,0,0
268,282,1,26.8,2016.11,0,0,0
276,150,3,101.76,2016.11,360,120,0
278,61,1,34.0,2016.11,0,0,0
279,44,1,26.1,2016.11,0,0,0
282,52,20,841.52,2016.11,643,32,0
294,148,8,289.98,2016.11,351,43,0
300,34,13,404.23,2016.11,519,39,0
302,162,10,449.59000000000003,2016.11,532,53,0
303,56,9,47.84,2016.11,387,43,0
310,683,1,11.5,2016.11,0,0,0
316,13,18,638.41,2016.11,663,36,0
321,6,36,724.62,2016.11,683,18,1
327,534,1,16.0,2016.11,0,0,0
329,277,53,862.25,2016.11,406,7,1
330,7,31,748.5,2016.11,626,20,1
332,191,1,34.79,2016.11,0,0,0
