user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,222,3,90.0,2015.08,10,3,1
17,26,1,79.5,2015.08,0,0,0
24,77,5,90.94999999999999,2015.08,158,31,0
30,111,4,84.75,2015.08,87,21,1
34,27,8,507.35,2015.08,164,20,1
38,237,1,38.5,2015.08,0,0,0
45,155,4,72.0,2015.08,69,17,1
46,105,2,73.8,2015.08,113,56,0
48,114,2,103.2,2015.08,119,59,0
52,5,22,812.9499999999999,2015.08,225,10,1
57,39,5,260.8,2015.08,199,39,0
58,7,9,270.05,2015.08,123,13,1
61,12,15,416.75,2015.08,211,14,1
63,81,4,178.8,2015.08,133,33,0
72,49,8,0.0,2015.08,112,14,1
75,14,2,122.65,2015.08,97,48,0
76,31,6,280.8,2015.08,205,34,0
79,103,3,54.55,2015.08,34,11,1
87,174,2,92.5,2015.08,41,20,1
88,182,1,111.0,2015.08,0,0,0
91,91,4,140.9,2015.08,146,36,0
100,70,1,24.0,2015.08,0,0,0
101,68,1,8.58,2015.08,0,0,0
104,3,19,1172.9,2015.08,237,12,1
106,1,24,855.94,2015.08,228,9,1
117,12,1,109.88,2015.08,0,0,0
129,37,8,157.9,2015.08,153,19,1
141,56,4,95.0,2015.08,134,33,0
143,1,40,419.8,2015.08,239,5,1
146,58,1,59.9,2015.08,0,0,0
164,126,2,64.0,2015.08,80,40,0
166,103,1,18.0,2015.08,0,0,0
170,4,27,1872.58,2015.08,233,8,1
177,3,15,488.67,2015.08,209,13,1
178,7,26,96.0,2015.08,217,8,1
179,53,2,192.68,2015.08,179,89,0
180,9,7,171.64,2015.08,208,29,1
181,87,2,63.2,2015.08,133,66,0
182,56,8,242.05,2015.08,183,22,1
183,20,18,374.62,2015.08,210,11,1
193,126,1,18.9,2015.08,0,0,0
197,183,2,16.5,2015.08,8,4,1
210,25,6,531.0,2015.08,205,34,0
219,78,3,58.25,2015.08,66,22,1
222,150,1,27.0,2015.08,0,0,0
223,28,12,205.75,2015.08,199,16,1
225,91,2,50.0,2015.08,92,46,0
227,141,1,15.0,2015.08,0,0,0
231,2,3,153.65,2015.08,14,4,1
240,1,8,210.25,2015.08,228,28,1
247,231,1,22.0,2015.08,0,0,0
257,82,1,61.0,2015.08,0,0,0
264,209,2,40.5,2015.08,1,0,0
276,53,1,25.8,2015.08,0,0,0
282,43,10,456.4,2015.08,195,19,1
294,34,3,59.1,2015.08,8,2,1
300,3,3,53.6,2015.08,93,31,0
302,35,5,234.7,2015.08,202,40,0
310,226,1,11.5,2015.08,0,0,0
316,48,7,187.15,2015.08,171,24,1
