user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,10,3,90.0,2015.01,10,3,1
24,23,1,3.0,2015.01,0,0,0
38,25,1,38.5,2015.01,0,0,0
45,12,1,16.0,2015.01,0,0,0
46,6,1,32.0,2015.01,0,0,0
48,21,1,24.0,2015.01,0,0,0
52,1,2,65.25,2015.01,17,8,1
57,26,1,62.5,2015.01,0,0,0
61,11,1,47.6,2015.01,0,0,0
63,2,1,29.0,2015.01,0,0,0
76,24,1,64.0,2015.01,0,0,0
87,3,1,57.0,2015.01,0,0,0
91,25,1,44.0,2015.01,0,0,0
104,28,1,58.0,2015.01,0,0,0
106,17,1,67.73,2015.01,0,0,0
143,2,4,126.75,2015.01,26,6,1
170,13,3,255.25,2015.01,12,4,1
178,4,2,32.0,2015.01,8,4,1
179,20,1,72.2,2015.01,0,0,0
180,5,1,13.28,2015.01,0,0,0
181,8,1,14.5,2015.01,0,0,0
182,27,1,62.0,2015.01,0,0,0
183,3,3,48.8,2015.01,15,5,1
210,18,1,98.5,2015.01,0,0,0
223,15,1,30.0,2015.01,0,0,0
240,17,1,19.75,2015.01,0,0,0
247,19,1,22.0,2015.01,0,0,0
282,26,1,102.4,2015.01,0,0,0
302,25,1,51.5,2015.01,0,0,0
310,14,1,11.5,2015.01,0,0,0
316,7,1,26.25,2015.01,0,0,0
321,4,4,78.5,2015.01,16,4,1
329,7,2,31.0,2015.01,7,3,1
342,6,1,23.5,2015.01,0,0,0
347,20,1,31.5,2015.01,0,0,0
380,4,2,123.25,2015.01,20,10,1
398,3,4,68.39,2015.01,20,5,1
403,10,3,43.2,2015.01,13,4,1
415,6,1,27.0,2015.01,0,0,0
427,16,1,7.5,2015.01,0,0,0
451,29,1,49.0,2015.01,0,0,0
458,18,1,19.75,2015.01,0,0,0
468,14,1,30.5,2015.01,0,0,0
475,13,1,54.0,2015.01,0,0,0
492,18,1,45.75,2015.01,0,0,0
495,28,1,59.0,2015.01,0,0,0
532,4,2,117.0,2015.01,12,6,1
541,27,1,16.0,2015.01,0,0,0
542,7,4,57.6,2015.01,18,4,1
543,17,1,48.0,2015.01,0,0,0
565,7,1,82.25,2015.01,0,0,0
566,5,1,77.5,2015.01,0,0,0
567,26,1,28.5,2015.01,0,0,0
577,2,1,75.5,2015.01,0,0,0
594,10,2,59.0,2015.01,13,6,1
598,3,7,154.34,2015.01,20,2,1
619,2,3,48.0,2015.01,14,4,1
633,4,3,43.2,2015.01,23,7,1
656,3,2,39.5,2015.01,13,6,1
665,13,1,43.2,2015.01,0,0,0
708,4,7,196.64000000000001,2015.01,21,3,1
718,15,1,47.5,2015.01,0,0,0
734,10,1,16.0,2015.01,0,0,0
744,24,1,16.0,2015.01,0,0,0
