user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,344,3,90.0,2015.12,10,3,1
15,42,1,25.8,2015.12,0,0,0
17,121,2,172.75,2015.12,27,13,1
24,32,9,165.95,2015.12,325,36,0
30,233,4,84.75,2015.12,87,21,1
34,10,12,668.2,2015.12,303,25,1
37,111,1,19.5,2015.12,0,0,0
38,359,1,38.5,2015.12,0,0,0
43,73,1,69.0,2015.12,0,0,0
45,277,4,72.0,2015.12,69,17,1
46,44,6,188.6,2015.12,296,49,0
48,236,2,103.2,2015.12,119,59,0
52,19,31,1220.45,2015.12,333,10,1
57,4,8,332.7,2015.12,356,44,0
58,60,13,424.75,2015.12,192,14,1
61,16,20,577.7,2015.12,329,16,1
63,15,7,300.9,2015.12,321,45,0
72,171,8,0.0,2015.12,112,14,1
75,9,15,752.5,2015.12,224,14,1
76,153,6,280.8,2015.12,205,34,0
79,225,3,54.55,2015.12,34,11,1
87,296,2,92.5,2015.12,41,20,1
88,304,1,111.0,2015.12,0,0,0
91,82,8,222.6,2015.12,277,34,0
100,17,5,192.9,2015.12,175,35,0
101,190,1,8.58,2015.12,0,0,0
104,13,29,2173.4,2015.12,349,12,1
105,81,1,64.6,2015.12,0,0,0
106,15,35,1203.28,2015.12,336,9,1
117,134,1,109.88,2015.12,0,0,0
129,15,14,331.78,2015.12,297,21,1
141,40,6,137.45,2015.12,272,45,0
142,74,1,2.0,2015.12,0,0,0
143,13,55,651.25,2015.12,349,6,1
146,180,1,59.9,2015.12,0,0,0
164,55,4,128.0,2015.12,273,68,0
165,51,1,40.0,2015.12,0,0,0
166,225,1,18.0,2015.12,0,0,0
170,10,69,2945.48,2015.12,349,5,1
177,13,20,655.27,2015.12,321,16,1
178,23,38,165.05,2015.12,323,8,1
179,46,3,282.2,2015.12,308,102,0
180,12,10,240.94,2015.12,327,32,0
181,209,2,63.2,2015.12,133,66,0
182,15,11,292.55,2015.12,346,31,0
183,3,26,554.49,2015.12,349,13,1
186,75,4,119.55,2015.12,25,6,1
193,248,1,18.9,2015.12,0,0,0
197,305,2,16.5,2015.12,8,4,1
210,59,8,723.1,2015.12,293,36,0
219,102,4,96.95,2015.12,164,41,0
222,272,1,27.0,2015.12,0,0,0
223,80,14,247.65,2015.12,269,19,1
225,213,2,50.0,2015.12,92,46,0
227,263,1,15.0,2015.12,0,0,0
231,95,6,290.4,2015.12,43,7,1
235,18,1,36.0,2015.12,0,0,0
240,60,10,280.95,2015.12,291,29,1
247,353,1,22.0,2015.12,0,0,0
257,204,1,61.0,2015.12,0,0,0
264,331,2,40.5,2015.12,1,0,0
276,175,1,25.8,2015.12,0,0,0
282,30,12,556.9,2015.12,330,27,1
294,48,5,130.1,2015.12,116,23,1
300,114,4,66.5,2015.12,104,26,1
302,81,7,286.2,2015.12,278,39,0
303,63,8,10.56,2015.12,45,5,1
310,348,1,11.5,2015.12,0,0,0
316,17,11,333.15,2015.12,324,29,1
321,61,26,502.25,2015.12,293,11,1
327,199,1,16.0,2015.12,0,0,0
329,12,47,748.25,2015.12,336,7,1
330,8,14,321.97,2015.12,290,20,1
342,105,8,146.05,2015.12,235,29,1
343,219,1,25.8,2015.12,0,0,0
346,24,6,89.00999999999999,2015.12,225,37,0
347,10,3,149.6,2015.12,344,114,0
349,73,6,95.0,2015.12,209,34,0
352,84,6,288.4,2015.12,215,35,0
367,9,15,483.2,2015.12,290,19,1
368,10,15,296.0,2015.12,309,20,1
377,256,1,63.53,2015.12,0,0,0
380,28,13,843.2,2015.12,330,25,1
398,281,8,181.79,2015.12,76,9,1
403,173,5,72.0,2015.12,184,36,0
404,261,1,25.8,2015.12,0,0,0
415,161,4,177.4,2015.12,179,44,0
426,12,24,877.5,2015.12,322,13,1
427,120,8,100.62,2015.12,230,28,1
439,16,7,110.92,2015.12,300,42,0
440,91,2,51.6,2015.12,55,27,1
441,26,2,131.75,2015.12,223,111,0
451,9,8,264.4,2015.12,354,44,0
458,278,3,98.75,2015.12,74,24,1
468,162,18,485.25,2015.12,186,10,1
472,2,11,365.5,2015.12,308,28,1
475,12,15,612.45,2015.12,335,22,1
481,32,5,150.65,2015.12,233,46,0
489,228,3,85.8,2015.12,81,27,1
492,11,11,567.89,2015.12,341,31,0
495,251,2,107.3,2015.12,111,55,0
501,74,5,331.9,2015.12,259,51,0
512,326,1,25.5,2015.12,0,0,0
516,129,1,25.8,2015.12,0,0,0
517,100,1,37.4,2015.12,0,0,0
521,288,1,28.9,2015.12,0,0,0
527,333,1,18.0,2015.12,0,0,0
530,81,2,56.85,2015.12,207,103,0
532,14,21,1161.45,2015.12,336,16,1
541,40,17,291.75,2015.12,321,18,1
542,158,29,461.74,2015.12,201,6,1
543,169,2,65.4,2015.12,182,91,0
549,22,8,169.8,2015.12,236,29,1
555,279,1,19.5,2015.12,0,0,0
557,36,14,548.45,2015.12,295,21,1
558,9,4,86.3,2015.12,79,19,1
560,319,1,14.5,2015.12,0,0,0
563,114,5,160.6,2015.12,138,27,1
565,2,30,1498.05,2015.12,339,11,1
566,30,11,787.73,2015.12,309,28,1
567,6,31,855.18,2015.12,354,11,1
568,39,1,12.9,2015.12,0,0,0
569,16,11,383.2,2015.12,307,27,1
573,152,18,337.25,2015.12,170,9,1
574,88,6,470.85,2015.12,237,39,0
577,24,14,616.4,2015.12,312,22,1
579,181,1,19.4,2015.12,0,0,0
592,23,8,56.9,2015.12,264,33,0
594,42,16,497.2,2015.12,315,19,1
598,3,88,2052.07,2015.12,354,4,1
615,185,2,25.8,2015.12,37,18,1
619,226,14,156.9,2015.12,124,8,1
622,330,1,31.0,2015.12,0,0,0
633,77,20,273.06,2015.12,284,14,1
636,191,1,25.8,2015.12,0,0,0
640,1,1,22.0,2015.12,0,0,0
648,74,3,53.1,2015.12,211,70,0
649,54,4,80.0,2015.12,258,64,0
653,8,18,391.7,2015.12,282,15,1
656,83,18,289.55,2015.12,267,14,1
657,113,1,11.61,2015.12,0,0,0
660,15,5,96.0,2015.12,314,62,0
662,52,14,325.15,2015.12,274,19,1
665,45,17,393.14,2015.12,302,17,1
666,227,1,14.0,2015.12,0,0,0
668,99,3,74.25,2015.12,86,28,1
684,309,1,19.0,2015.12,0,0,0
691,175,5,66.0,2015.12,90,18,1
694,151,1,32.0,2015.12,0,0,0
708,4,70,2254.75,2015.12,355,5,1
710,290,1,12.9,2015.12,0,0,0
713,133,11,418.3,2015.12,193,17,1
