user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,618,3,90.0,2016.09,10,3,0
15,141,3,66.2,2016.09,175,58,0
17,395,2,172.75,2016.09,27,13,0
20,18,2,40.54,2016.09,195,97,0
24,107,15,338.86,2016.09,524,34,0
30,507,4,84.75,2016.09,87,21,0
34,40,20,1039.78,2016.09,547,27,1
37,385,1,19.5,2016.09,0,0,0
38,633,1,38.5,2016.09,0,0,0
43,347,1,69.0,2016.09,0,0,0
45,551,4,72.0,2016.09,69,17,0
46,318,6,188.6,2016.09,296,49,0
48,510,2,103.2,2016.09,119,59,0
52,3,55,2437.07,2016.09,623,11,1
57,37,19,688.88,2016.09,597,31,0
58,334,13,424.75,2016.09,192,14,1
61,2,43,1199.62,2016.09,617,14,1
63,2,15,703.2,2016.09,608,40,0
65,220,1,32.43,2016.09,0,0,0
72,73,12,331.07000000000005,2016.09,484,40,0
73,77,1,57.6,2016.09,0,0,0
75,12,30,1380.59,2016.09,495,16,1
76,427,6,280.8,2016.09,205,34,0
79,499,3,54.55,2016.09,34,11,0
87,570,2,92.5,2016.09,41,20,0
88,578,1,111.0,2016.09,0,0,0
91,24,15,411.21999999999997,2016.09,609,40,0
100,2,13,400.82,2016.09,464,35,0
101,464,1,8.58,2016.09,0,0,0
102,40,1,17.5,2016.09,0,0,0
104,7,47,2988.69,2016.09,629,13,1
105,355,1,64.6,2016.09,0,0,0
106,4,58,2037.98,2016.09,621,10,1
117,408,1,109.88,2016.09,0,0,0
129,88,20,580.29,2016.09,498,24,1
139,13,2,53.6,2016.09,212,106,0
141,81,12,299.65,2016.09,505,42,0
142,129,2,56.0,2016.09,219,109,0
143,8,85,1638.43,2016.09,628,7,1
146,454,1,59.9,2016.09,0,0,0
155,249,2,26.65,2016.09,12,6,1
164,119,8,256.0,2016.09,483,60,0
165,325,1,40.0,2016.09,0,0,0
166,499,1,18.0,2016.09,0,0,0
170,7,113,2988.69,2016.09,626,5,1
177,7,35,1215.16,2016.09,601,17,1
178,12,52,640.13,2016.09,608,11,1
179,144,6,469.25,2016.09,484,80,0
180,4,17,494.77,2016.09,609,35,0
181,483,2,63.2,2016.09,133,66,0
182,66,15,417.77,2016.09,569,37,0
183,10,38,917.3299999999999,2016.09,616,16,1
186,349,4,119.55,2016.09,25,6,1
193,522,1,18.9,2016.09,0,0,0
197,579,2,16.5,2016.09,8,4,0
205,229,1,22.0,2016.09,0,0,0
210,17,16,1411.5,2016.09,609,38,0
216,252,1,22.0,2016.09,0,0,0
219,376,4,96.95,2016.09,164,41,0
222,546,1,27.0,2016.09,0,0,0
223,191,17,357.62,2016.09,432,25,1
225,487,2,50.0,2016.09,92,46,0
227,76,3,68.25,2016.09,461,153,0
231,369,6,290.4,2016.09,43,7,0
235,292,1,36.0,2016.09,0,0,0
240,5,17,493.13,2016.09,620,36,0
247,627,1,22.0,2016.09,0,0,0
257,478,1,61.0,2016.09,0,0,0
264,605,2,40.5,2016.09,1,0,0
268,221,1,26.8,2016.09,0,0,0
276,89,3,101.76,2016.09,360,120,0
282,2,19,791.65,2016.09,632,33,0
294,87,8,289.98,2016.09,351,43,0
300,32,12,372.93,2016.09,460,38,0
302,101,10,449.59000000000003,2016.09,532,53,0
303,337,8,10.56,2016.09,45,5,1
310,622,1,11.5,2016.09,0,0,0
316,88,16,568.8,2016.09,527,32,0
321,88,34,686.37,2016.09,540,15,1
327,473,1,16.0,2016.09,0,0,0
329,216,53,862.25,2016.09,406,7,1
330,12,27,632.0,2016.09,560,20,1
332,130,1,34.79,2016.09,0,0,0
337,137,1,16.5,2016.09,0,0,0
342,379,8,146.05,2016.09,235,29,0
343,493,1,25.8,2016.09,0,0,0
346,75,8,135.3,2016.09,448,56,0
347,284,3,149.6,2016.09,344,114,0
349,86,8,138.72,2016.09,470,58,0
352,358,6,288.4,2016.09,215,35,0
354,9,1,0.0,2016.09,0,0,0
367,76,23,812.84,2016.09,497,21,1
368,24,27,680.0,2016.09,569,21,1
377,530,1,63.53,2016.09,0,0,0
380,26,15,898.14,2016.09,606,40,0
