user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,526,3,90.0,2016.06,10,3,0
15,49,3,66.2,2016.06,175,58,0
17,303,2,172.75,2016.06,27,13,1
20,121,1,15.9,2016.06,0,0,0
24,15,15,338.86,2016.06,524,34,0
30,415,4,84.75,2016.06,87,21,0
34,4,16,897.7,2016.06,491,30,0
37,293,1,19.5,2016.06,0,0,0
38,541,1,38.5,2016.06,0,0,0
43,255,1,69.0,2016.06,0,0,0
45,459,4,72.0,2016.06,69,17,0
46,226,6,188.6,2016.06,296,49,0
48,418,2,103.2,2016.06,119,59,0
52,11,48,2134.21,2016.06,523,10,1
57,53,14,557.16,2016.06,489,34,0
58,242,13,424.75,2016.06,192,14,1
61,7,35,977.63,2016.06,520,14,1
63,2,14,660.52,2016.06,516,36,0
65,128,1,32.43,2016.06,0,0,0
72,92,11,276.78000000000003,2016.06,373,33,0
75,61,26,1190.45,2016.06,354,13,1
76,335,6,280.8,2016.06,205,34,0
79,407,3,54.55,2016.06,34,11,0
87,478,2,92.5,2016.06,41,20,0
88,486,1,111.0,2016.06,0,0,0
91,18,13,362.3,2016.06,523,40,0
100,79,7,258.38,2016.06,295,42,0
101,372,1,8.58,2016.06,0,0,0
104,7,42,3348.98,2016.06,537,12,1
105,263,1,64.6,2016.06,0,0,0
106,6,51,1793.77,2016.06,527,10,1
117,316,1,109.88,2016.06,0,0,0
129,10,19,546.49,2016.06,484,25,1
139,133,1,26.8,2016.06,0,0,0
141,33,10,224.85000000000002,2016.06,461,46,0
142,37,2,56.0,2016.06,219,109,0
143,7,76,1280.63,2016.06,537,7,1
146,362,1,59.9,2016.06,0,0,0
155,157,2,26.65,2016.06,12,6,1
164,27,8,256.0,2016.06,483,60,0
165,233,1,40.0,2016.06,0,0,0
166,407,1,18.0,2016.06,0,0,0
170,1,100,3519.91,2016.06,540,5,1
177,5,30,989.67,2016.06,511,17,1
178,14,47,466.15,2016.06,514,10,1
179,52,6,469.25,2016.06,484,80,0
180,23,14,350.52,2016.06,498,35,0
181,391,2,63.2,2016.06,133,66,0
182,22,13,355.54,2016.06,521,40,0
183,25,34,772.1,2016.06,509,14,1
186,257,4,119.55,2016.06,25,6,1
193,430,1,18.9,2016.06,0,0,0
197,487,2,16.5,2016.06,8,4,0
205,137,1,22.0,2016.06,0,0,0
210,20,14,1300.1399999999999,2016.06,514,36,0
