user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,404,3,90.0,2016.02,10,3,0
15,102,1,25.8,2016.02,0,0,0
17,181,2,172.75,2016.02,27,13,1
24,43,11,223.95,2016.02,374,34,0
30,293,4,84.75,2016.02,87,21,1
34,12,13,753.7,2016.02,361,27,1
37,171,1,19.5,2016.02,0,0,0
38,419,1,38.5,2016.02,0,0,0
43,133,1,69.0,2016.02,0,0,0
45,337,4,72.0,2016.02,69,17,1
46,104,6,188.6,2016.02,296,49,0
48,296,2,103.2,2016.02,119,59,0
52,11,36,1479.93,2016.02,401,11,1
57,37,10,427.95,2016.02,383,38,0
58,120,13,424.75,2016.02,192,14,1
61,7,25,684.7,2016.02,398,15,1
63,26,10,389.1,2016.02,370,37,0
65,6,1,32.43,2016.02,0,0,0
72,231,8,0.0,2016.02,112,14,1
75,1,24,1104.65,2016.02,292,12,1
76,213,6,280.8,2016.02,205,34,0
79,285,3,54.55,2016.02,34,11,1
87,356,2,92.5,2016.02,41,20,1
88,364,1,111.0,2016.02,0,0,0
91,22,10,299.13,2016.02,397,39,0
100,28,6,224.4,2016.02,224,37,0
101,250,1,8.58,2016.02,0,0,0
104,5,33,2593.86,2016.02,417,12,1
105,141,1,64.6,2016.02,0,0,0
106,11,39,1347.63,2016.02,400,10,1
117,194,1,109.88,2016.02,0,0,0
129,35,15,364.0,2016.02,337,22,1
139,11,1,26.8,2016.02,0,0,0
141,100,6,137.45,2016.02,272,45,0
142,134,1,2.0,2016.02,0,0,0
143,7,64,864.05,2016.02,415,6,1
146,240,1,59.9,2016.02,0,0,0
155,35,2,26.65,2016.02,12,6,1
164,115,4,128.0,2016.02,273,68,0
165,111,1,40.0,2016.02,0,0,0
166,285,1,18.0,2016.02,0,0,0
170,11,81,3373.4,2016.02,408,5,1
177,27,22,718.9300000000001,2016.02,367,16,1
178,14,42,293.75,2016.02,392,9,1
179,35,5,409.32,2016.02,379,75,0
180,11,12,296.95,2016.02,388,32,0
181,269,2,63.2,2016.02,133,66,0
182,75,11,292.55,2016.02,346,31,0
183,13,29,627.6899999999999,2016.02,399,13,1
186,135,4,119.55,2016.02,25,6,1
193,308,1,18.9,2016.02,0,0,0
197,365,2,16.5,2016.02,8,4,1
205,15,1,22.0,2016.02,0,0,0
210,57,9,852.9,2016.02,355,39,0
216,38,1,22.0,2016.02,0,0,0
219,162,4,96.95,2016.02,164,41,0
222,332,1,27.0,2016.02,0,0,0
223,44,16,313.35,2016.02,365,22,1
225,273,2,50.0,2016.02,92,46,0
227,323,1,15.0,2016.02,0,0,0
231,155,6,290.4,2016.02,43,7,1
235,78,1,36.0,2016.02,0,0,0
240,51,11,296.95,2016.02,360,32,0
247,413,1,22.0,2016.02,0,0,0
257,264,1,61.0,2016.02,0,0,0
264,391,2,40.5,2016.02,1,0,0
268,7,1,26.8,2016.02,0,0,0
276,235,1,25.8,2016.02,0,0,0
282,7,14,589.88,2016.02,413,29,1
294,108,5,130.1,2016.02,116,23,1
300,2,7,169.17000000000002,2016.02,276,39,0
302,141,7,286.2,2016.02,278,39,0
303,123,8,10.56,2016.02,45,5,1
310,408,1,11.5,2016.02,0,0,0
316,9,14,502.7,2016.02,392,28,1
321,5,29,570.74,2016.02,409,14,1
327,259,1,16.0,2016.02,0,0,0
329,2,53,862.25,2016.02,406,7,1
330,68,14,321.97,2016.02,290,20,1
342,165,8,146.05,2016.02,235,29,1
343,279,1,25.8,2016.02,0,0,0
346,84,6,89.00999999999999,2016.02,225,37,0
347,70,3,149.6,2016.02,344,114,0
349,133,6,95.0,2016.02,209,34,0
352,144,6,288.4,2016.02,215,35,0
367,46,16,515.1,2016.02,313,19,1
368,5,17,374.0,2016.02,374,22,1
377,316,1,63.53,2016.02,0,0,0
380,88,13,843.2,2016.02,330,25,1
398,341,8,181.79,2016.02,76,9,1
403,233,5,72.0,2016.02,184,36,0
404,321,1,25.8,2016.02,0,0,0
415,221,4,177.4,2016.02,179,44,0
426,13,28,1071.18,2016.02,381,13,1
427,180,8,100.62,2016.02,230,28,1
439,76,7,110.92,2016.02,300,42,0
440,151,2,51.6,2016.02,55,27,1
441,86,2,131.75,2016.02,223,111,0
451,23,11,337.59,2016.02,400,36,0
458,338,3,98.75,2016.02,74,24,1
468,222,18,485.25,2016.02,186,10,1
472,21,12,395.5,2016.02,349,29,1
475,8,17,690.04,2016.02,399,23,1
479,37,1,17.0,2016.02,0,0,0
481,92,5,150.65,2016.02,233,46,0
489,288,3,85.8,2016.02,81,27,1
492,14,13,647.3100000000001,2016.02,398,30,0
495,311,2,107.3,2016.02,111,55,0
501,134,5,331.9,2016.02,259,51,0
512,386,1,25.5,2016.02,0,0,0
516,19,2,61.09,2016.02,170,85,0
517,160,1,37.4,2016.02,0,0,0
521,348,1,28.9,2016.02,0,0,0
527,393,1,18.0,2016.02,0,0,0
530,141,2,56.85,2016.02,207,103,0
532,32,22,1222.35,2016.02,378,17,1
541,35,19,336.2,2016.02,386,20,1
542,218,29,461.74,2016.02,201,6,1
543,229,2,65.4,2016.02,182,91,0
549,82,8,169.8,2016.02,236,29,1
555,339,1,19.5,2016.02,0,0,0
557,2,17,689.72,2016.02,389,22,1
558,69,4,86.3,2016.02,79,19,1
560,379,1,14.5,2016.02,0,0,0
563,174,5,160.6,2016.02,138,27,1
565,2,39,1969.99,2016.02,399,10,1
566,90,11,787.73,2016.02,309,28,1
567,20,32,899.47,2016.02,400,12,1
568,99,1,12.9,2016.02,0,0,0
569,26,12,399.18,2016.02,357,29,1
573,212,18,337.25,2016.02,170,9,1
574,148,6,470.85,2016.02,237,39,0
577,4,17,788.64,2016.02,392,23,1
579,241,1,19.4,2016.02,0,0,0
592,83,8,56.9,2016.02,264,33,0
594,102,16,497.2,2016.02,315,19,1
598,4,105,2384.4,2016.02,413,3,1
615,245,2,25.8,2016.02,37,18,1
619,286,14,156.9,2016.02,124,8,1
622,390,1,31.0,2016.02,0,0,0
633,137,20,273.06,2016.02,284,14,1
636,251,1,25.8,2016.02,0,0,0
640,61,1,22.0,2016.02,0,0,0
648,134,3,53.1,2016.02,211,70,0
649,23,5,96.5,2016.02,349,69,0
653,36,19,407.7,2016.02,314,16,1
656,143,18,289.55,2016.02,267,14,1
657,173,1,11.61,2016.02,0,0,0
660,75,5,96.0,2016.02,314,62,0
662,2,17,389.15,2016.02,384,22,1
665,105,17,393.14,2016.02,302,17,1
666,287,1,14.0,2016.02,0,0,0
668,159,3,74.25,2016.02,86,28,1
