user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,283,3,90.0,2015.10,10,3,1
17,60,2,172.75,2015.10,27,13,1
24,37,6,117.94999999999999,2015.10,259,43,0
30,172,4,84.75,2015.10,87,21,1
34,34,10,585.35,2015.10,218,21,1
37,50,1,19.5,2015.10,0,0,0
38,298,1,38.5,2015.10,0,0,0
43,12,1,69.0,2015.10,0,0,0
45,216,4,72.0,2015.10,69,17,1
46,6,5,172.6,2015.10,273,54,0
48,175,2,103.2,2015.10,119,59,0
52,13,27,990.15,2015.10,278,10,1
57,100,5,260.8,2015.10,199,39,0
58,7,12,414.75,2015.10,184,15,1
61,55,16,444.0,2015.10,229,14,1
63,13,5,217.5,2015.10,262,52,0
72,110,8,0.0,2015.10,112,14,1
75,12,8,435.25,2015.10,160,20,1
76,92,6,280.8,2015.10,205,34,0
79,164,3,54.55,2015.10,34,11,1
87,235,2,92.5,2015.10,41,20,1
88,243,1,111.0,2015.10,0,0,0
91,21,8,222.6,2015.10,277,34,0
100,11,4,155.4,2015.10,120,30,1
101,129,1,8.58,2015.10,0,0,0
104,1,25,1689.85,2015.10,300,12,1
105,20,1,64.6,2015.10,0,0,0
106,3,30,1055.69,2015.10,287,9,1
117,73,1,109.88,2015.10,0,0,0
129,6,12,239.53,2015.10,245,20,1
141,117,4,95.0,2015.10,134,33,0
142,13,1,2.0,2015.10,0,0,0
143,6,48,441.5,2015.10,295,6,1
146,119,1,59.9,2015.10,0,0,0
164,30,3,96.0,2015.10,237,79,0
166,164,1,18.0,2015.10,0,0,0
170,1,55,2826.4,2015.10,297,5,1
177,1,19,631.33,2015.10,272,14,1
178,5,36,114.3,2015.10,280,7,1
179,114,2,192.68,2015.10,179,89,0
180,26,8,200.69,2015.10,252,31,0
181,148,2,63.2,2015.10,133,66,0
182,10,10,281.3,2015.10,290,29,1
183,20,21,450.78999999999996,2015.10,271,12,1
186,14,4,119.55,2015.10,25,6,1
193,187,1,18.9,2015.10,0,0,0
197,244,2,16.5,2015.10,8,4,1
210,18,7,621.1,2015.10,273,39,0
219,41,4,96.95,2015.10,164,41,0
222,211,1,27.0,2015.10,0,0,0
223,19,14,247.65,2015.10,269,19,1
225,152,2,50.0,2015.10,92,46,0
227,202,1,15.0,2015.10,0,0,0
