user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,252,3,90.0,2015.09,10,3,1
17,29,2,172.75,2015.09,27,13,1
24,6,6,117.94999999999999,2015.09,259,43,0
30,141,4,84.75,2015.09,87,21,1
34,3,10,585.35,2015.09,218,21,1
37,19,1,19.5,2015.09,0,0,0
38,267,1,38.5,2015.09,0,0,0
45,185,4,72.0,2015.09,69,17,1
46,10,3,111.69999999999999,2015.09,238,79,0
48,144,2,103.2,2015.09,119,59,0
52,8,25,924.4,2015.09,252,10,1
57,69,5,260.8,2015.09,199,39,0
58,37,9,270.05,2015.09,123,13,1
61,24,16,444.0,2015.09,229,14,1
63,111,4,178.8,2015.09,133,33,0
72,79,8,0.0,2015.09,112,14,1
75,2,6,338.2,2015.09,139,23,1
76,61,6,280.8,2015.09,205,34,0
79,133,3,54.55,2015.09,34,11,1
87,204,2,92.5,2015.09,41,20,1
88,212,1,111.0,2015.09,0,0,0
91,10,7,203.1,2015.09,257,36,0
100,16,3,106.65,2015.09,84,28,1
101,98,1,8.58,2015.09,0,0,0
104,5,22,1378.15,2015.09,265,12,1
106,4,27,938.0600000000001,2015.09,255,9,1
117,42,1,109.88,2015.09,0,0,0
129,12,9,174.1,2015.09,208,23,1
141,86,4,95.0,2015.09,134,33,0
143,3,44,425.2,2015.09,267,6,1
146,88,1,59.9,2015.09,0,0,0
164,156,2,64.0,2015.09,80,40,0
166,133,1,18.0,2015.09,0,0,0
170,1,39,2359.48,2015.09,266,6,1
177,4,17,557.45,2015.09,238,14,1
178,2,32,111.6,2015.09,252,7,1
179,83,2,192.68,2015.09,179,89,0
180,39,7,171.64,2015.09,208,29,1
181,117,2,63.2,2015.09,133,66,0
182,26,9,263.55,2015.09,243,27,1
183,28,19,414.19,2015.09,232,12,1
186,8,1,23.0,2015.09,0,0,0
193,156,1,18.9,2015.09,0,0,0
197,213,2,16.5,2015.09,8,4,1
210,55,6,531.0,2015.09,205,34,0
219,10,4,96.95,2015.09,164,41,0
222,180,1,27.0,2015.09,0,0,0
223,58,12,205.75,2015.09,199,16,1
225,121,2,50.0,2015.09,92,46,0
227,171,1,15.0,2015.09,0,0,0
231,3,6,290.4,2015.09,43,7,1
240,24,9,223.15,2015.09,235,26,1
247,261,1,22.0,2015.09,0,0,0
257,112,1,61.0,2015.09,0,0,0
264,239,2,40.5,2015.09,1,0,0
276,83,1,25.8,2015.09,0,0,0
282,73,10,456.4,2015.09,195,19,1
294,64,3,59.1,2015.09,8,2,1
300,22,4,66.5,2015.09,104,26,1
302,16,6,253.2,2015.09,251,41,0
303,6,3,0.0,2015.09,10,3,1
310,256,1,11.5,2015.09,0,0,0
316,78,7,187.15,2015.09,171,24,1
321,1,23,443.0,2015.09,261,11,1
327,107,1,16.0,2015.09,0,0,0
329,7,34,550.0,2015.09,249,7,1
330,14,8,187.46,2015.09,192,24,1
342,13,8,146.05,2015.09,235,29,1
343,127,1,25.8,2015.09,0,0,0
346,17,4,58.05,2015.09,140,35,0
347,179,2,124.2,2015.09,83,41,0
349,14,5,82.0,2015.09,176,35,0
352,22,5,269.0,2015.09,185,37,0
367,3,11,348.0,2015.09,204,18,1
368,20,11,216.0,2015.09,207,18,1
377,164,1,63.53,2015.09,0,0,0
380,31,11,681.0,2015.09,235,21,1
398,189,8,181.79,2015.09,76,9,1
403,81,5,72.0,2015.09,184,36,0
404,169,1,25.8,2015.09,0,0,0
415,69,4,177.4,2015.09,179,44,0
426,1,17,591.35,2015.09,241,14,1
427,28,8,100.62,2015.09,230,28,1
439,91,6,96.52,2015.09,133,22,1
440,54,1,25.8,2015.09,0,0,0
441,157,1,104.9,2015.09,0,0,0
451,33,6,210.1,2015.09,238,39,0
458,186,3,98.75,2015.09,74,24,1
468,70,18,485.25,2015.09,186,10,1
472,17,8,256.0,2015.09,201,25,1
475,14,10,399.6,2015.09,241,24,1
481,117,3,91.4,2015.09,56,18,1
489,136,3,85.8,2015.09,81,27,1
492,3,6,304.44,2015.09,257,42,0
495,159,2,107.3,2015.09,111,55,0
501,90,4,259.2,2015.09,151,37,0
512,234,1,25.5,2015.09,0,0,0
516,37,1,25.8,2015.09,0,0,0
517,8,1,37.4,2015.09,0,0,0
521,196,1,28.9,2015.09,0,0,0
527,241,1,18.0,2015.09,0,0,0
530,196,1,18.0,2015.09,0,0,0
532,7,14,866.2,2015.09,251,17,1
541,8,14,220.54999999999998,2015.09,261,18,1
542,66,29,461.74,2015.09,201,6,1
543,77,2,65.4,2015.09,182,91,0
549,13,4,92.9,2015.09,153,38,0
555,187,1,19.5,2015.09,0,0,0
557,18,10,373.1,2015.09,221,22,1
560,227,1,14.5,2015.09,0,0,0
563,22,5,160.6,2015.09,138,27,1
565,6,16,809.3,2015.09,243,15,1
566,83,10,773.9300000000001,2015.09,164,16,1
567,5,25,710.23,2015.09,263,10,1
569,65,7,214.9,2015.09,166,23,1
573,60,18,337.25,2015.09,170,9,1
574,65,4,234.0,2015.09,168,42,0
577,19,13,561.8,2015.09,225,17,1
579,89,1,19.4,2015.09,0,0,0
592,7,7,44.0,2015.09,188,26,1
594,6,14,429.4,2015.09,259,18,1
598,6,61,1498.25,2015.09,259,4,1
615,93,2,25.8,2015.09,37,18,1
619,134,14,156.9,2015.09,124,8,1
622,238,1,31.0,2015.09,0,0,0
633,29,18,245.25,2015.09,240,13,1
636,99,1,25.8,2015.09,0,0,0
648,159,2,35.400000000000006,2015.09,34,17,1
649,181,2,32.0,2015.09,39,19,1
653,12,12,263.8,2015.09,186,15,1
656,10,16,266.3,2015.09,248,15,1
657,21,1,11.61,2015.09,0,0,0
660,57,4,80.0,2015.09,180,45,0
662,21,12,261.15,2015.09,213,17,1
665,9,14,349.94,2015.09,246,17,1
666,135,1,14.0,2015.09,0,0,0
668,7,3,74.25,2015.09,86,28,1
684,217,1,19.0,2015.09,0,0,0
691,83,5,66.0,2015.09,90,18,1
694,59,1,32.0,2015.09,0,0,0
708,1,49,1502.6,2015.09,266,5,1
710,198,1,12.9,2015.09,0,0,0
713,41,11,418.3,2015.09,193,17,1
718,20,12,412.8,2015.09,237,19,1
734,52,6,96.4,2015.09,200,33,0
736,182,1,13.0,2015.09,0,0,0
